ZIP,date,Number of returns,Paid Preparer Helped,Number of exemptions,Number of dependents,Number of Salaries in AGI,Number of farm returns,Net capital gain (less loss) in AGI,Unemployment compensation,Social Security benefits in AGI,Taxes paid,Total tax credits,Residential energy credit,Alternative minimum tax,Overpayments refunded,Additional Medicare tax
93906,2010,23928,17060,62060,22755,21497,21,1148,4435,1529,6759,9224,416,283,20299,0
93907,2010,8958,5804,20274,6754,7548,60,1096,1473,1059,3704,3125,265,234,6953,0
93908,2010,5858,3970,12659,3866,4505,68,1933,513,1092,3415,2130,214,819,3977,0
93920,2010,707,421,1441,394,594,0,121,53,47,112,212,0,0,539,0
93923,2010,4944,3473,8609,1729,2652,26,2507,247,1827,3072,1681,172,695,2992,0
93924,2010,2989,1984,5667,1421,2038,30,1056,244,581,1574,954,89,282,1924,0
93925,2010,838,738,2626,1038,776,0,37,286,41,164,348,0,0,738,0
93926,2010,4293,3516,12952,5071,3984,0,140,1271,185,1003,1918,60,42,3787,0
93927,2010,7915,6368,25655,9716,7525,33,136,1761,256,1417,2825,80,38,7140,0
93930,2010,7340,6121,23116,8060,6792,72,286,1350,394,1300,2509,94,77,6473,0
93933,2010,9691,5444,19597,6295,8403,0,756,1098,931,2549,3262,154,99,7712,0
93940,2010,13729,7769,24453,5638,10645,21,3410,1042,2242,5446,4335,329,703,9915,0
93950,2010,7691,4364,13547,3132,5550,0,2090,628,1470,3204,2362,207,337,5336,0
93953,2010,2120,1482,3861,701,1151,0,1095,107,852,1435,752,84,416,1310,0
93955,2010,13789,8869,33637,11958,12011,0,1018,1303,1058,3345,4838,190,144,11318,0
93960,2010,6932,5578,20893,8396,6486,25,191,1838,271,1762,2939,151,82,6069,0
94002,2010,13009,6980,25151,6858,10405,0,4660,1421,1912,6893,4548,552,1983,8733,0
94005,2010,2569,1553,4794,1256,2130,0,612,314,229,1424,873,49,344,1758,0
94010,2010,19813,12821,38977,11564,14567,45,8678,1593,3178,10810,7165,653,4277,12928,0
94014,2010,21665,13474,43054,13498,18706,0,2018,2657,1942,6325,6730,240,346,17099,0
94015,2010,29381,16667,56183,16232,24807,0,4039,3419,3262,10057,9220,509,669,22424,0
94019,2010,7146,4685,15233,4884,5783,56,2022,742,1052,3435,2334,239,827,5064,0
94020,2010,759,413,1327,263,594,0,233,85,107,419,232,42,74,519,0
94021,2010,103,55,172,39,80,0,26,0,0,42,28,0,0,78,0
94022,2010,9201,5712,19048,5765,6094,35,6054,551,2219,6291,4071,496,3020,5398,0
94024,2010,10349,5940,22924,7550,7361,36,6698,825,2239,7109,4514,583,3498,6125,0
94025,2010,18723,10870,37867,11613,14496,31,8326,1445,2645,10634,7209,627,4082,12443,0
94027,2010,3169,2364,6394,1897,2005,0,2234,106,757,2213,1478,111,1152,2063,0
94028,2010,3412,2424,6802,1970,2140,21,2302,147,946,2397,1546,139,1155,2040,0
94030,2010,10849,6491,21112,6048,8082,0,3559,1092,1976,5087,3621,323,992,7562,0
94038,2010,1387,824,2852,868,1128,0,382,147,168,688,464,56,157,981,0
94040,2010,15376,7779,32003,9358,12841,0,5508,1305,1539,7240,5447,449,2316,10651,0
94041,2010,7026,3371,13210,3208,6044,0,2266,628,490,3175,2235,166,907,4913,0
94043,2010,14361,6735,26895,6963,12505,0,4467,1545,1028,6904,4860,289,1552,10312,0
94044,2010,18895,10676,35728,10048,15602,0,3749,2408,2472,9228,5949,656,1120,13868,0
94060,2010,813,560,2043,682,676,22,135,45,80,203,241,0,34,640,0
94061,2010,16790,10309,34509,10802,13488,0,4058,1676,2031,6928,5619,521,1344,12147,0
94062,2010,12581,7838,24737,6882,9359,62,5673,1084,2153,7445,4647,516,2657,8174,0
94063,2010,12522,8800,30105,11433,10718,0,1069,1266,644,2949,4054,133,243,10047,0
94065,2010,5722,3050,11536,3291,4754,0,2678,645,617,3965,2090,196,1287,3692,0
94066,2010,21154,12575,41701,12353,17659,0,3538,2393,2370,8306,6572,531,796,16041,0
94070,2010,14805,8700,29538,8588,11601,31,6320,1513,2344,9025,5455,736,3049,9694,0
94074,2010,110,62,195,50,77,0,25,0,24,50,30,0,0,78,0
94080,2010,31377,18711,65277,20417,26584,0,4502,3634,3372,11558,9967,552,1195,24211,0
94085,2010,10241,5821,22248,6588,9264,0,2174,1120,450,3890,3416,169,539,7938,0
94086,2010,22506,11433,45892,12872,19801,0,6352,2295,1581,8996,7592,468,1923,16588,0
94087,2010,24455,11869,54075,17388,19762,20,10627,2395,3152,12730,9801,1081,4526,16436,0
94089,2010,9991,5454,19280,5225,8541,0,2340,1363,1019,4121,3082,161,549,7307,0
94102,2010,13567,6301,21526,4639,11848,0,1612,1414,550,2788,2815,58,392,10392,0
94103,2010,12854,5997,19589,4047,11299,0,2043,1381,405,3767,2794,70,670,9727,0
94104,2010,1364,918,2077,400,974,0,508,114,141,770,419,0,300,921,0
94105,2010,4551,2349,6307,730,3993,0,1930,372,198,3123,1269,32,1089,3165,0
94107,2010,15066,7558,21729,3260,13043,0,4921,1456,770,8562,3932,175,2315,10483,0
94108,2010,6549,3468,10173,1839,5326,0,1318,866,510,1623,1335,0,353,4790,0
94109,2010,30980,14574,42785,5531,25461,34,7919,3036,2868,10732,6855,131,2348,22404,0
94110,2010,38013,19781,62789,15168,32682,20,7060,4153,1784,12207,9922,586,2258,28043,0
94111,2010,2666,1662,3967,602,1873,21,1213,209,499,1580,790,0,555,1758,0
94112,2010,38177,23227,74376,22413,32131,0,4775,5537,3074,10595,11061,571,743,29271,0
94114,2010,20931,10244,27672,3446,16877,31,7211,2024,1714,11115,5398,446,2890,14264,0
94115,2010,18078,9060,25772,4220,14764,40,5261,1805,1530,7606,4716,175,2036,12799,0
94116,2010,22089,11832,39698,9897,17373,21,6210,2607,2758,8505,6690,494,1476,15832,0
94117,2010,22353,9397,29893,3832,19192,28,5720,2106,1183,8681,5502,405,2082,15880,0
94118,2010,20031,10366,31834,6567,15728,39,6136,2029,2097,7484,5692,276,2140,13994,0
94121,2010,21426,11015,36312,8223,16830,0,5494,2340,2463,7029,5888,298,1441,15111,0
94122,2010,29766,14305,49176,10603,23996,0,7200,3362,3014,10007,8196,486,1609,21342,0
94123,2010,14648,7837,19619,2256,11798,26,6029,1181,1532,8291,3856,155,2577,10006,0
94124,2010,15337,9112,30944,10570,13110,0,1102,2308,951,3486,4576,175,140,12333,0
94127,2010,9986,5967,18436,4719,7302,0,4174,887,1801,5849,3486,402,1883,6571,0
94129,2010,1711,695,2783,669,1486,0,484,170,64,641,554,0,222,1204,0
94130,2010,913,328,1506,431,838,0,39,108,0,70,218,0,0,766,0
94131,2010,15633,8314,24316,4555,12292,23,5315,1594,2025,8406,4661,465,2080,10772,0
94132,2010,12046,6342,20634,5193,9587,0,2608,1390,1538,4306,3435,192,613,8698,0
94133,2010,13653,7452,20899,3751,11001,0,3453,1783,1187,4177,3106,88,1048,9826,0
94134,2010,19225,11875,38783,12355,16173,0,2368,3015,1516,5085,5582,216,280,15019,0
94158,2010,2298,931,3260,389,2152,0,725,187,54,1245,613,0,372,1668,0
94301,2010,8351,4639,15354,4147,6085,22,4700,479,1416,5231,3340,231,2277,5214,0
94303,2010,19348,11812,47043,17968,16126,0,5123,1754,1826,7588,7616,429,2401,14505,0
94304,2010,1791,979,3060,621,1221,0,853,48,478,1084,731,0,378,1179,0
94305,2010,3445,1015,5213,965,3031,0,942,69,351,1753,980,58,624,2497,0
94306,2010,12799,6000,25956,8104,10028,0,5955,989,1774,7002,4906,429,2718,8218,0
94401,2010,15866,9750,31453,9498,12789,0,2935,1641,1781,5726,4738,218,654,11776,0
94402,2010,12324,7664,24439,6920,9212,20,5093,1139,2269,6879,4456,475,2286,8091,0
94403,2010,19788,11353,38026,10684,15798,0,5402,2046,2649,9234,6451,697,1823,13950,0
94404,2010,16425,8466,32435,9075,13544,0,6359,1721,2327,9401,5761,666,2375,11209,0
94501,2010,29908,15178,54982,15046,24389,22,5837,3756,3378,10928,9211,596,1459,22049,0
94502,2010,6517,3444,13395,4085,4981,0,2514,665,1138,4065,2492,311,916,4527,0
94503,2010,8360,4732,19745,7458,7278,0,781,1198,757,3763,3070,180,323,6537,0
94505,2010,5656,3475,12386,3972,4464,0,1274,891,943,3603,1999,211,405,3943,0
94506,2010,9968,6044,23455,8477,8162,26,5137,913,1315,7187,3928,491,3094,6279,0
94507,2010,7197,4867,15551,4962,5125,40,3986,436,1613,4949,2742,391,2148,4414,0
94508,2010,1279,637,2488,659,1059,22,230,103,180,541,385,40,67,942,0
94509,2010,26252,15312,57942,19988,22217,0,2004,4020,2761,8852,8432,669,302,21179,0
94510,2010,13397,7086,26677,8142,10873,0,2734,1598,1966,6987,4515,547,917,9608,0
94513,2010,22776,13781,54333,20285,18571,102,3746,3471,3178,12436,8593,593,1240,16736,0
94514,2010,551,370,1299,448,443,21,91,99,76,222,188,0,21,416,0
94515,2010,3311,2099,7201,2237,2547,93,688,405,554,1054,1011,82,132,2465,0
94517,2010,5998,3373,12466,3726,4741,24,1812,650,1119,3825,2062,310,728,4190,0
94518,2010,12553,6529,24939,7197,10140,0,2471,1677,1734,5569,3983,447,547,9139,0
94519,2010,8684,4500,17319,5169,7093,0,1189,1237,1106,3669,2800,288,121,6593,0
94520,2010,16236,9718,39491,13700,14165,0,986,1838,1007,3828,5096,255,125,13422,0
94521,2010,19494,10056,38881,11534,15909,0,3693,2586,2779,9752,6517,769,903,14348,0
94523,2010,16588,8478,31056,8382,13245,25,4117,1930,2337,8297,5532,671,1097,11766,0
94525,2010,1623,828,2678,576,1290,0,273,203,244,651,446,55,36,1167,0
94526,2010,15238,9165,32294,10306,11494,37,6536,1342,3010,10124,5426,854,3020,9689,0
94530,2010,12648,6636,22778,5444,9446,0,3562,1157,2047,5701,4204,539,774,8798,0
94531,2010,17137,9795,39778,15145,15166,0,1721,2702,1395,8645,6607,384,602,13375,0
94533,2010,29433,16196,67104,23473,24970,25,2166,4316,3201,9383,9728,610,368,23768,0
94534,2010,16404,9303,35845,11816,13745,81,2949,2036,2220,9152,5890,537,1153,12042,0
94535,2010,2268,663,5386,1979,2228,0,113,106,33,164,1224,0,0,2130,0
94536,2010,29975,16693,65149,20877,25500,24,7175,4192,2958,13340,10787,924,2094,22287,0
94538,2010,27739,15603,59541,18749,24518,0,4965,4143,1849,10407,9715,584,1096,21516,0
94539,2010,21153,9930,52316,19580,17936,31,10732,2716,2018,12922,9125,1047,4790,14028,0
94541,2010,26677,16742,59457,20344,22988,0,2110,4034,1992,7601,8790,427,349,21596,0
94542,2010,5421,3189,10549,2944,4508,0,1255,707,690,2742,1755,211,469,3996,0
94544,2010,31755,21147,73978,26010,27566,0,2303,4850,2207,8831,11066,453,403,25974,0
94545,2010,14293,8972,30838,10195,12142,0,1472,2206,1335,5190,4931,293,334,11307,0
94546,2010,20695,12072,40524,12209,16338,25,4210,2774,2970,9151,6899,678,797,15292,0
94547,2010,11225,6250,23302,7588,9702,0,1610,1364,1255,6055,3898,280,585,8431,0
94549,2010,13160,7958,27505,8560,9547,54,6307,986,2653,8201,5089,680,2988,8322,0
94550,2010,21341,11628,46228,14420,17441,144,5592,2606,3159,11702,7337,838,2378,15400,0
94551,2010,18120,10215,41348,12742,15881,89,2905,2624,1601,8713,6118,547,924,14001,0
94552,2010,6611,3612,14425,4659,5436,26,2414,744,879,4219,2559,304,968,4606,0
94553,2010,22866,12031,43167,12162,18549,55,4242,3099,3207,11090,7182,816,988,16743,0
94555,2010,14069,7050,33353,11839,12341,0,4496,2032,1067,7278,5709,520,1512,10242,0
94556,2010,6954,3895,14845,4676,4973,0,3497,512,1670,4515,2888,452,1617,4343,0
94558,2010,30763,18693,67893,20707,24439,354,6203,3709,5010,12696,10295,921,1616,23221,0
94559,2010,12532,7203,27642,8518,10428,90,1871,1657,1400,4258,3935,289,377,9779,0
94560,2010,19669,12039,43630,14619,16910,0,3008,3270,1825,7858,6928,521,690,15317,0
94561,2010,15251,8971,35400,13185,13299,47,1290,2904,1327,7403,5814,426,371,12024,0
94563,2010,8646,5502,18535,5871,5963,31,4881,542,1968,5948,3606,544,2454,5296,0
94564,2010,9268,5280,18122,5303,7451,0,1265,1180,1420,4152,2935,282,251,6951,0
94565,2010,36595,21984,84877,31099,31899,0,2053,5524,2728,11884,12468,772,426,29753,0
94566,2010,19255,10590,43592,14745,15718,47,7309,2059,2629,11082,7021,886,3528,12838,0
94567,2010,292,172,593,168,224,0,59,40,43,132,93,0,0,228,0
94568,2010,19531,9819,42108,13509,17142,0,5140,2596,1508,10968,6936,577,2055,14266,0
94571,2010,4003,2224,7639,1741,2589,43,828,544,1330,1997,928,90,72,2713,0
94572,2010,3890,2155,8044,2649,3247,0,337,478,448,1490,1242,102,57,3086,0
94574,2010,4086,2682,8503,2498,2988,156,1255,335,821,1783,1362,118,396,2842,0
94576,2010,112,62,185,34,89,0,0,0,24,57,28,0,0,81,0
94577,2010,21974,12993,44706,13917,17872,0,3056,3091,2430,8060,7121,481,539,16674,0
94578,2010,17317,9997,35977,11756,14780,0,1466,2557,1329,4709,5583,270,188,13953,0
94579,2010,9872,5774,20398,6421,7951,0,1412,1590,1211,3700,3176,204,205,7596,0
94580,2010,12773,7735,27343,9202,10718,0,1363,2138,1353,4844,4499,262,151,10113,0
94582,2010,14682,7350,37921,14963,13040,0,6218,1796,951,10097,6082,408,3775,10026,0
94583,2010,20717,12442,47110,16047,18031,113,6660,2087,1979,12377,9017,864,3377,13766,0
94585,2010,12324,6484,27166,9502,10976,0,767,1942,1100,5170,4445,309,157,9859,0
94586,2010,552,346,1071,277,428,23,168,74,83,267,181,30,50,381,0
94587,2010,31225,18699,69341,23510,27154,0,5186,4955,2651,12371,11058,671,1579,24133,0
94588,2010,14449,7681,32985,11310,12457,35,4790,1688,1523,8185,5546,565,1941,10118,0
94589,2010,12994,7279,28220,9751,11016,0,647,1858,1372,4149,4274,278,110,10398,0
94590,2010,15727,8438,31751,10165,13160,0,1012,2256,1413,4148,4418,319,145,12556,0
94591,2010,24762,13365,50347,15737,20906,0,2608,3443,3108,10889,7806,592,771,18906,0
94592,2010,322,158,571,143,291,0,51,36,25,182,109,0,26,240,0
94595,2010,9681,5930,15439,2484,4229,0,4924,587,4475,5558,2909,378,799,5588,0
94596,2010,11146,5849,20836,5270,8891,0,3268,1056,1509,5313,3549,378,1302,7739,0
94597,2010,11196,5536,19688,4738,8973,0,3033,1252,1364,5426,3456,345,824,7922,0
94598,2010,13148,7053,26327,7488,9647,40,5461,1205,2940,8008,4796,694,1979,8582,0
94599,2010,1648,983,2960,657,1119,30,422,150,376,636,422,37,81,1127,0
94601,2010,19463,11981,46287,17245,16782,0,771,2485,752,3373,5940,172,104,16297,0
94602,2010,13675,7411,25131,6787,11082,0,3108,1735,1499,6135,4452,488,940,10021,0
94603,2010,13319,8190,33391,12890,11586,0,289,1707,715,3033,4490,141,59,11457,0
94605,2010,19078,10442,36644,11319,15722,0,1889,2347,2031,7455,5590,462,511,15032,0
94606,2010,16573,8581,30742,8841,14147,0,1271,2365,643,2628,4288,106,152,13074,0
94607,2010,10713,4885,18346,4835,9143,0,1112,1493,435,2748,2492,75,219,8543,0
94608,2010,14025,6229,22092,4940,11892,0,1868,1632,796,4795,3467,192,387,10809,0
94609,2010,10995,4502,16655,3453,9362,0,1467,1299,566,2944,2889,243,255,8284,0
94610,2010,16955,7833,26490,5395,13752,0,4158,1931,1744,6837,4819,396,1448,11868,0
94611,2010,19662,10660,34702,8388,14827,37,7725,1871,2943,10909,6814,784,3582,13109,0
94612,2010,7070,3056,10995,2242,6051,0,797,843,401,1619,1638,38,160,5383,0
94618,2010,8513,4584,14726,3306,6471,23,3707,658,1347,5058,3115,361,1622,5578,0
94619,2010,11947,6584,22272,6141,9701,0,2185,1512,1344,5287,3725,402,671,8923,0
94621,2010,11589,7199,29129,11612,9955,0,175,1423,455,1903,3641,80,34,10120,0
94702,2010,8308,3894,14067,3459,6664,0,1544,858,827,3242,2608,297,269,6005,0
94703,2010,9508,4026,15826,3875,7765,0,1915,871,831,3179,2902,258,378,6901,0
94704,2010,5254,1676,6727,940,4360,0,993,348,300,1232,1168,53,159,3781,0
94705,2010,7057,3568,11375,2337,5263,0,2780,532,1092,3605,2433,229,1096,4653,0
94706,2010,8748,4008,17226,5196,6990,0,2370,796,960,3909,3404,303,596,6189,0
94707,2010,6738,3981,12442,3027,4551,20,3293,422,1638,4303,2686,403,1337,4349,0
94708,2010,5776,3341,10283,2226,3875,0,2897,353,1491,3778,2309,349,1206,3690,0
94709,2010,5132,1834,6975,977,4080,0,1385,332,500,1814,1376,81,273,3502,0
94710,2010,3513,1786,6495,1853,2901,0,527,327,219,1080,1040,79,112,2667,0
94801,2010,11016,7059,26309,10060,9524,0,742,1301,685,2708,3641,133,183,9244,0
94803,2010,11599,6624,22791,6686,9308,0,1844,1381,1658,5245,3767,361,374,8546,0
94804,2010,16913,9603,35427,12087,14200,0,1389,1977,1415,5364,5244,326,235,13602,0
94805,2010,6422,3731,12747,3870,5163,0,879,762,767,2611,2033,203,138,4802,0
94806,2010,25040,15362,56016,20304,21501,0,1413,3317,1934,7550,8412,327,248,20246,0
94901,2010,18264,12051,36668,10760,13704,21,5273,1444,2634,7579,5900,576,1908,12729,0
94903,2010,14072,8617,26466,7146,9859,0,4856,1285,2970,7540,4773,519,1433,9421,0
94904,2010,5951,4104,11097,3026,3871,0,2997,444,1427,3584,2246,196,1331,3723,0
94920,2010,5971,4358,11535,3196,3691,27,3514,393,1545,4035,2367,221,1782,3602,0
94922,2010,217,127,373,76,150,0,49,30,23,76,56,0,0,149,0
94923,2010,672,430,1240,241,414,0,230,64,202,349,199,24,49,432,0
94924,2010,695,456,1083,207,415,0,216,46,113,270,162,0,31,404,0
94925,2010,4428,2847,8857,2702,3147,0,1922,352,798,2667,1646,177,858,2853,0
94928,2010,18033,9009,34618,10426,15223,20,2267,2560,1837,6500,5865,583,255,13925,0
94930,2010,4029,2375,7397,1942,2930,0,1214,440,583,2150,1327,183,320,2661,0
94931,2010,4342,2330,8007,2281,3555,26,714,671,497,1823,1427,155,98,3250,0
94937,2010,488,329,871,181,280,0,189,39,129,224,166,0,31,308,0
94939,2010,3412,2197,6208,1633,2394,0,1557,298,669,1986,1172,128,690,2138,0
94941,2010,14443,9563,27882,8045,9858,34,7063,1174,2783,8871,5512,588,3220,9046,0
94945,2010,8290,5009,16321,4557,6282,0,2402,811,1524,4248,2679,316,705,5656,0
94946,2010,295,219,612,189,209,0,131,24,47,161,98,0,61,180,0
94947,2010,11282,6747,22259,6442,8528,31,3039,1050,2001,5697,3714,405,807,7782,0
94949,2010,8183,5051,16360,4898,6190,0,2464,789,1453,4213,2706,237,833,5646,0
94951,2010,2044,1248,3812,1018,1511,36,502,246,352,930,640,85,119,1415,0
94952,2010,14754,8740,29357,8233,11414,206,3641,1798,2106,6190,4855,577,749,10561,0
94954,2010,17088,9669,36362,11539,13775,61,3257,2098,2297,7713,5843,621,621,12603,0
94956,2010,876,572,1551,357,576,0,278,56,154,350,274,32,48,573,0
94960,2010,6953,4368,13548,3967,4945,20,2844,608,1174,4099,2476,272,1146,4435,0
94965,2010,7679,5412,10889,1535,6013,23,2119,588,1025,4523,1657,131,785,5641,0
95003,2010,10746,6531,20391,5367,7898,53,3504,1090,2009,5920,3489,472,939,7258,0
95004,2010,1820,1186,3866,1164,1457,35,295,294,250,804,596,60,70,1319,0
95005,2010,2920,1541,5603,1538,2308,0,672,412,366,1469,884,143,149,2066,0
95006,2010,4119,2106,7565,1799,3289,0,964,615,500,2286,1170,204,247,2935,0
95008,2010,21859,11468,42246,12207,18338,0,5944,2787,1954,9767,7151,659,2052,15649,0
95010,2010,5193,2982,9010,2219,3997,0,1085,576,656,2039,1417,107,225,3647,0
95012,2010,4836,3642,13748,5116,4422,0,156,1189,261,827,1733,59,29,4229,0
95014,2010,24852,11258,58785,20960,19964,37,13014,2382,3015,14272,10732,1052,5597,15841,0
95017,2010,405,233,831,226,311,0,79,57,35,111,123,22,0,288,0
95018,2010,3639,1931,6587,1650,2916,0,800,490,410,1793,1099,190,127,2618,0
95019,2010,3750,2863,10534,4088,3336,29,167,1015,181,683,1365,40,32,3227,0
95020,2010,23288,14967,57034,20508,20164,158,3357,3387,2167,9277,8144,487,1276,18312,0
95023,2010,19456,12800,48090,17446,17049,252,2234,3720,1783,7356,7004,369,581,15623,0
95030,2010,6266,4113,12475,3617,4350,22,3570,454,1329,4145,2333,280,1824,3815,0
95032,2010,12247,7239,25082,7786,9205,34,5717,1239,2121,7426,4530,572,2710,7619,0
95033,2010,4012,2119,8053,2205,3039,45,1644,464,590,2436,1387,255,733,2487,0
95035,2010,29612,16610,64472,21300,26170,30,7716,4953,1950,12546,10778,748,2023,22383,0
95037,2010,19426,11677,44023,15045,16217,117,4823,2548,2263,9685,6752,647,2154,13917,0
95039,2010,756,511,1827,565,660,0,51,142,70,184,237,0,0,604,0
95043,2010,271,192,561,160,207,52,55,33,34,79,70,0,0,210,0
95045,2010,1866,1260,4128,1256,1547,31,287,312,221,689,592,36,86,1392,0
95046,2010,3078,2046,7169,2493,2478,61,518,453,371,1180,968,69,214,2306,0
95050,2010,16600,9189,32802,9604,14058,0,3637,2041,1427,6101,5319,341,955,12372,0
95051,2010,25814,13292,53220,15856,21818,0,7266,3132,2487,11262,8912,723,2111,18868,0
95054,2010,11882,6715,24566,7291,10960,0,3755,1321,466,6414,4130,167,1649,8626,0
95060,2010,18743,9950,33752,8484,14683,57,4733,1694,2252,7266,5584,622,1180,13318,0
95062,2010,16576,8958,30452,7951,13265,27,3200,1895,1595,5944,4936,429,609,12270,0
95064,2010,514,137,817,201,481,0,95,30,0,184,152,0,22,434,0
95065,2010,3692,2309,7361,2041,2747,0,1087,360,633,1775,1234,171,277,2620,0
95066,2010,6546,3663,13275,4048,5077,0,2197,735,1003,3570,2185,324,734,4440,0
95070,2010,14867,8293,32316,10393,10580,49,9198,1236,2905,9822,6139,795,4465,8817,0
95073,2010,5417,3146,10055,2685,4117,30,1391,593,754,2422,1628,188,363,3766,0
95075,2010,294,220,625,203,232,26,67,39,46,139,91,0,28,207,0
95076,2010,35274,26274,95170,33687,31012,245,2884,7515,2557,8597,12204,566,571,29684,0
95110,2010,7977,5061,17534,5885,7170,0,938,978,314,2519,2433,85,264,6440,0
95111,2010,23963,17201,58077,21857,21036,0,1978,4168,1129,6417,8437,370,310,19860,0
95112,2010,21694,12915,43380,13348,19182,0,2541,2988,977,5809,6290,261,602,17422,0
95113,2010,994,523,1489,318,839,0,184,109,36,355,244,0,82,728,0
95116,2010,19825,15139,52462,19979,17786,0,1077,2862,671,3900,7013,194,163,16975,0
95117,2010,13130,7746,28852,9546,11459,0,2490,1611,894,4000,4413,270,713,10193,0
95118,2010,14472,8235,30774,9875,12088,0,3421,1936,1569,6844,5038,541,1116,10580,0
95119,2010,4553,2465,9723,3206,3944,0,966,699,472,2263,1624,185,293,3402,0
95120,2010,16258,8562,37900,13144,12734,25,8311,1524,2905,10739,6294,976,4073,10254,0
95121,2010,16582,11355,37223,13087,14312,0,2524,3006,1043,6007,5807,355,581,13066,0
95122,2010,23047,17745,60176,23401,20470,0,1199,3621,883,4857,8212,244,131,19570,0
95123,2010,28602,16022,59421,19254,24565,0,5288,4235,2800,12921,9868,929,1491,21403,0
95124,2010,21426,11801,45773,14911,17522,25,6661,2685,2720,11586,7687,941,2534,15032,0
95125,2010,24075,14513,47837,13918,19181,28,7866,2836,3153,12444,8037,807,3366,16640,0
95126,2010,15399,8588,29452,8362,13474,0,3216,1908,916,5968,4716,257,1074,11747,0
95127,2010,27931,20380,72330,24919,24361,33,2887,3952,1918,8500,9714,550,739,22976,0
95128,2010,15786,9431,31838,9563,13476,0,2975,2001,1254,5775,5044,347,889,11960,0
95129,2010,16768,7411,38114,13225,13779,0,7012,1857,1779,8370,6577,705,2767,11231,0
95130,2010,5948,3094,12724,4057,4927,0,1761,778,566,2584,2090,208,617,4277,0
95131,2010,13577,7223,28407,8962,12122,0,3846,2274,712,6086,4749,284,1127,10222,0
95132,2010,18340,10728,39242,13151,15646,25,4598,3168,1693,7770,6638,614,983,13905,0
95133,2010,11022,7182,23989,8138,9632,0,1986,2061,699,3902,3743,228,434,8718,0
95134,2010,7606,3655,14564,3710,7125,0,2154,819,212,3535,2254,77,748,5655,0
95135,2010,8647,4726,19810,6593,6331,0,4090,979,1943,5506,3128,363,1679,5474,0
95136,2010,19923,11347,41292,13043,17357,0,3978,2987,1769,8530,6885,529,1104,15110,0
95138,2010,7820,4569,18400,6701,6909,0,2875,1148,482,4688,3031,220,1701,5490,0
95139,2010,2988,1598,6466,2145,2542,0,711,471,342,1643,1134,138,228,2207,0
95140,2010,164,101,320,76,117,0,62,0,37,84,57,0,0,104,0
95148,2010,19756,12611,45208,16276,17133,0,4243,3474,1417,8661,7251,627,1450,15140,0
95202,2010,1967,1037,4233,1419,1714,0,53,286,58,132,391,0,0,1756,0
95203,2010,6039,3483,13816,4744,5233,0,270,1031,391,1178,1637,95,33,5203,0
95204,2010,11652,6816,23272,7325,9313,21,1268,1915,1620,3659,3496,293,176,9283,0
95205,2010,14235,9407,38696,15485,12656,0,243,3100,660,1796,4155,127,27,12723,0
95206,2010,26509,17881,73403,29114,24063,30,613,6106,1077,5912,9222,274,106,23448,0
95207,2010,19130,11071,40770,13804,15579,33,1900,2953,2369,4711,6027,431,272,15523,0
95209,2010,16127,9358,36617,13155,13448,0,1824,2485,2072,6823,5886,438,308,12633,0
95210,2010,14439,8582,34561,13577,12513,0,515,2681,982,2822,4845,226,43,12375,0
95212,2010,10609,6499,25289,9580,9121,85,964,1764,829,4144,3881,188,292,8751,0
95215,2010,8467,5623,21584,8076,7224,201,538,1900,750,1759,2611,146,84,7097,0
95219,2010,11826,7232,25441,8602,9815,31,2360,1581,1570,5704,4401,328,831,8811,0
95220,2010,2881,1886,6867,2371,2242,242,475,477,451,1058,907,101,115,2142,0
95222,2010,1645,1024,3224,788,1137,41,397,257,419,752,488,78,57,1166,0
95223,2010,1907,1064,3476,714,1211,0,529,286,545,877,453,63,46,1328,0
95228,2010,1775,1029,3651,957,1293,25,330,322,379,922,483,58,54,1259,0
95230,2010,330,232,863,288,263,47,42,39,46,76,104,0,0,251,0
95231,2010,1600,1072,4139,1628,1400,0,71,499,109,337,518,21,0,1355,0
95232,2010,145,80,272,45,99,0,23,26,36,60,40,0,0,102,0
95236,2010,2562,1830,6690,2449,2166,163,364,521,300,905,933,64,111,1996,0
95237,2010,1691,1064,3885,1243,1378,44,202,395,234,578,546,60,31,1304,0
95240,2010,17110,10695,40361,14339,14244,261,1642,3189,1794,4635,5258,377,243,13945,0
95242,2010,11033,6908,23203,7142,8461,199,2190,1658,1980,4939,3785,365,396,8030,0
95245,2010,744,420,1384,311,499,31,149,123,177,295,205,46,0,530,0
95246,2010,802,458,1480,272,482,29,183,110,215,344,196,46,0,574,0
95247,2010,1964,1242,3715,871,1280,25,555,282,516,913,527,84,56,1320,0
95249,2010,1627,872,3194,902,1178,42,258,253,314,532,431,53,0,1227,0
95251,2010,281,165,547,150,226,0,54,52,38,104,84,0,0,213,0
95252,2010,5237,3104,11367,3404,4004,81,716,953,942,2655,1621,207,68,3787,0
95255,2010,700,444,1334,296,437,0,123,130,178,257,159,26,0,518,0
95257,2010,187,106,356,80,110,0,29,38,43,51,38,0,0,131,0
95258,2010,2454,1602,5509,1850,1997,42,472,468,345,1002,804,92,119,1848,0
95301,2010,14064,8584,34210,12768,11856,233,1022,2430,1477,3956,4767,265,161,11637,0
95303,2010,372,293,946,370,320,44,41,68,34,88,135,0,0,298,0
95304,2010,4756,3124,11531,4236,3945,110,786,761,526,2209,1656,150,298,3560,0
