City,Date,Total
Arcata,7/4/2011,1
Arcata,7/9/2011,1
Arcata,8/3/2011,1
Arcata,5/30/2012,1
Arcata,7/26/2012,1
Arcata,9/9/2012,1
Arnold,1/22/1980,1
Arroyo Grande,3/27/1998,1
Arroyo Grande,11/16/2000,1
Arroyo Grande,8/20/2001,1
Arroyo Grande,8/21/2001,1
Arroyo Grande,5/14/2002,1
Arroyo Grande,11/2/2002,1
Arroyo Grande,2/23/2007,1
Arroyo Grande,3/12/2007,1
Arroyo Grande,1/18/2010,1
Arroyo Grande,12/11/2012,1
Arroyo Grande,3/19/2014,1
Ashland,6/20/1947,1
Ashland,6/1/1965,1
Ashland,4/15/1986,1
Ashland,5/20/1992,1
Ashland,1/3/1996,1
Ashland,6/5/1997,1
Ashland,7/15/1997,1
Ashland,9/26/2001,1
Ashland,3/19/2002,1
Ashland,6/4/2002,1
Ashland,6/13/2002,2
Ashland,5/21/2003,1
Ashland,5/23/2003,1
Ashland,1/4/2004,1
Ashland,1/25/2004,1
Ashland,2/8/2004,1
Ashland,3/4/2004,1
Ashland,3/28/2004,1
Ashland,3/29/2004,1
Ashland,5/3/2004,1
Ashland,9/3/2004,1
Ashland,3/3/2005,1
Ashland,4/14/2005,1
Ashland,3/12/2007,1
Ashland,3/17/2007,1
Ashland,6/14/2007,1
Ashland,1/24/2008,1
Ashland,5/23/2008,1
Ashland,8/29/2009,1
Ashland,5/19/2011,1
Ashland,9/18/2011,1
Ashland,1/27/2012,1
Ashland,6/8/2012,1
Ashland,2/10/2013,1
Ashland,5/22/2013,1
Ashland,1/28/2014,1
Atascadero,7/16/2000,1
Atascadero,11/6/2002,1
Atascadero,11/9/2002,1
Atascadero,3/2/2005,1
Atascadero,3/7/2007,1
Atascadero,7/24/2007,1
Atascadero,6/5/2008,1
Atascadero,4/18/2012,1
Atascadero,12/18/2012,1
Atwater,11/9/2006,1
Auberry,11/30/2003,1
Auberry,11/30/2004,1
Auberry,1/17/2012,1
Auburn,6/30/1966,1
Auburn,6/15/1977,1
Auburn,8/11/1978,1
Auburn,11/19/1998,1
Auburn,9/1/1999,2
Auburn,8/18/2000,1
Auburn,10/30/2002,1
Auburn,2/9/2006,1
Auburn,2/15/2006,1
Auburn,8/13/2007,1
Auburn,9/12/2009,1
Auburn,9/17/2009,1
Auburn,8/14/2011,1
Auburn,12/27/2011,1
Auburn,12/31/2011,1
Auburn,7/19/2012,1
Auburn,7/26/2013,1
Auburn,12/31/2013,1
Auburn,1/4/2014,1
Avalon,6/19/1992,1
Avalon,7/23/2001,1
Avalon,7/23/2002,3
Avalon,11/19/2003,1
Avalon,3/1/2004,1
Avalon,6/22/2009,1
Avalon,3/10/2011,1
Avalon,12/11/2011,1
Avery,6/1/1995,1
Avery,7/20/2002,1
Avery,7/20/2003,1
Avery,8/27/2005,1
Avila Beach,2/1/2002,1
Avila Beach,12/2/2006,1
Azusa,6/1/1954,1
Azusa,2/27/1981,1
Azusa,7/18/1992,1
Azusa,5/12/1995,1
Azusa,9/4/1998,1
Azusa,9/19/2002,1
Azusa,1/29/2003,1
Azusa,4/1/2004,1
Azusa,7/22/2006,1
Azusa,8/12/2007,1
Azusa,1/17/2008,1
Azusa,2/2/2009,1
Azusa,2/10/2009,1
Azusa,3/6/2009,1
Azusa,9/26/2009,1
Azusa,9/27/2009,1
Azusa,1/19/2010,1
Azusa,12/31/2012,1
Azusa,3/30/2013,1
Azusa,11/28/2013,1
Baker,7/1/1988,1
Baker,9/6/1999,1
Baker,7/1/2000,2
Baker,12/25/2004,1
Baker,6/24/2005,1
Baker,12/15/2008,1
Baker,4/24/2009,1
Baker,6/23/2013,1
Bakersfield,11/11/1961,1
Bakersfield,2/13/1966,1
Bakersfield,9/5/1966,1
Bakersfield,6/15/1989,1
Bakersfield,6/25/1992,1
Bakersfield,8/15/1994,2
Bakersfield,3/18/1995,1
Bakersfield,4/3/1995,1
Bakersfield,4/5/1995,1
Bakersfield,7/28/1995,1
Bakersfield,8/6/1995,2
Bakersfield,8/7/1995,1
Bakersfield,3/14/1996,1
Bakersfield,4/15/1996,2
Bakersfield,4/15/1997,1
Bakersfield,6/1/1998,1
Bakersfield,7/13/1998,1
Bakersfield,9/6/1998,1
Bakersfield,9/21/1998,1
Bakersfield,12/16/1998,1
Bakersfield,5/19/1999,1
Bakersfield,5/17/2000,1
Bakersfield,6/27/2000,1
Bakersfield,7/15/2000,1
Bakersfield,2/4/2001,1
Bakersfield,3/3/2001,1
Bakersfield,8/9/2001,1
Bakersfield,3/29/2002,2
Bakersfield,5/28/2002,1
Bakersfield,8/18/2002,1
Bakersfield,7/4/2003,1
Bakersfield,7/5/2003,1
Bakersfield,8/16/2003,1
Bakersfield,9/21/2003,1
Bakersfield,4/9/2004,1
Bakersfield,4/28/2004,1
Bakersfield,5/6/2004,1
Bakersfield,5/13/2004,1
Bakersfield,7/16/2004,1
Bakersfield,7/17/2004,1
Bakersfield,1/7/2005,1
Bakersfield,6/15/2005,1
Bakersfield,7/19/2005,1
Bakersfield,8/15/2005,1
Bakersfield,9/22/2005,1
Bakersfield,9/27/2005,1
Bakersfield,3/11/2006,1
Bakersfield,5/29/2006,1
Bakersfield,12/28/2006,1
Bakersfield,4/14/2007,1
Bakersfield,9/18/2007,1
Bakersfield,4/11/2008,1
Bakersfield,5/1/2008,1
Bakersfield,6/4/2008,1
Bakersfield,7/25/2008,1
Bakersfield,8/10/2008,1
Bakersfield,8/14/2008,1
Bakersfield,8/24/2008,1
Bakersfield,1/16/2009,1
Bakersfield,3/21/2009,1
Bakersfield,6/20/2009,1
Bakersfield,1/1/2010,1
Bakersfield,1/15/2010,1
Bakersfield,3/27/2010,1
Bakersfield,4/15/2010,1
Bakersfield,8/20/2010,1
Bakersfield,12/1/2010,1
Bakersfield,2/10/2011,1
Bakersfield,7/30/2011,1
Bakersfield,8/24/2011,1
Bakersfield,1/1/2012,1
Bakersfield,2/5/2012,1
Bakersfield,2/9/2012,1
Bakersfield,3/26/2012,1
Bakersfield,10/4/2012,1
Bakersfield,11/9/2012,2
Bakersfield,11/26/2012,1
Bakersfield,12/16/2012,1
Bakersfield,2/24/2013,1
Bakersfield,3/5/2013,1
Bakersfield,6/3/2013,1
Bakersfield,8/14/2013,1
Bakersfield,8/16/2013,1
Bakersfield,11/24/2013,1
Bakersfield,1/1/2014,1
Bakersfield,2/19/2014,1
Balboa Island,2/23/2014,1
Baldwin Park,11/25/2009,1
Barstow,8/10/1969,1
Barstow,6/1/1992,1
Barstow,11/6/1998,1
Barstow,2/17/1999,1
Barstow,8/20/1999,1
Barstow,7/6/2000,1
Barstow,5/28/2001,1
Barstow,10/4/2001,1
Barstow,6/13/2003,2
Barstow,8/29/2003,1
Barstow,1/15/2004,1
Barstow,6/11/2005,1
Barstow,7/17/2005,1
Barstow,11/15/2005,1
Barstow,11/20/2005,1
Barstow,6/19/2008,1
Barstow,6/16/2009,1
Barstow,7/26/2010,1
Barstow,8/5/2012,1
Barstow,4/12/2014,1
Bass Lake,8/15/1991,1
Bass Lake,3/4/1999,1
Bass Lake,9/17/2002,1
Bass Lake,8/9/2007,1
Beale Afb,11/6/2004,1
Bell,2/12/2004,1
Bell,5/29/2010,1
Bell,7/31/2013,1
Bell Canyon,8/30/2010,1
Bell Gardens,11/16/2002,1
Bella Vista,6/1/1993,1
Bella Vista,9/8/1999,1
Bella Vista,3/27/2000,1
Bella Vista,5/12/2010,1
Bella Vista,5/9/2011,1
Bellflower,4/7/1996,1
Bellflower,5/15/1996,1
Bellflower,11/20/1999,1
Bellflower,12/31/1999,1
Bellflower,11/28/2001,1
Bellflower,12/24/2001,1
Bellflower,4/24/2002,1
Bellflower,8/20/2003,1
Bellflower,2/19/2004,1
Bellflower,9/22/2004,1
Bellflower,7/4/2006,1
Bellflower,12/31/2006,1
Bellflower,1/22/2007,1
Bellflower,1/15/2008,1
Bellflower,5/31/2008,1
Bellflower,9/29/2008,1
Bellflower,2/5/2012,1
Bellflower,11/10/2012,1
Belmont,11/3/1995,1
Belmont,11/3/1998,1
Benicia,2/20/1996,1
Benicia,11/19/2000,1
Benicia,2/15/2003,1
Benicia,6/1/2004,1
Benicia,11/22/2005,1
Benicia,3/20/2006,1
Benicia,2/25/2008,1
Benicia,1/20/2009,1
Benicia,3/9/2013,1
Berkeley,6/30/1957,1
Berkeley,4/1/1979,1
Berkeley,6/7/1995,1
Berkeley,9/5/1999,1
Berkeley,9/15/2000,1
Berkeley,5/7/2002,1
Berkeley,5/19/2003,1
Berkeley,11/23/2003,1
Berkeley,9/20/2004,1
