City,ZipCode,Population,$ IncomePerHousehold,Transport_tCO2e_yr,Food_tCO2e_yr,Total_tCO2e_yr
VENICE,90291,31018,45769,11.70469291,5.94,35.28108447
MARINA DEL REY,90292,18057,72215,14.06722607,4.95,40.0830723
PLAYA DEL REY,90293,11252,66425,16.60268984,5.46,42.75827831
INGLEWOOD,90301,37507,31306,10.99898744,9.18,36.14663005
INGLEWOOD,90302,30770,32698,11.48309405,8.28,36.0709704
INGLEWOOD,90303,27773,34751,12.58338502,10.98,41.14081413
INGLEWOOD,90304,28679,29036,11.4777292,13.14,40.77830537
INGLEWOOD,90305,13763,45711,14.23354032,7.32,41.40336363
SANTA MONICA,90401,5201,36461,8.184168861,4.32,27.41719963
SANTA MONICA,90402,11492,118553,20.72450033,6.93,59.17277384
SANTA MONICA,90403,23556,54964,11.73803226,5.01,35.37471458
SANTA MONICA,90404,19956,39821,10.66512203,6.12,33.31866263
SANTA MONICA,90405,26089,50540,11.15442976,5.43,34.84595746
TORRANCE,90501,40697,42117,14.05896104,8.76,40.73731743
TORRANCE,90502,17038,48601,15.7129404,8.76,43.73846035
TORRANCE,90503,41970,58127,15.88036863,7.41,43.66920329
TORRANCE,90504,31664,50587,16.23526986,8.13,44.12257741
TORRANCE,90505,34855,60737,16.57267564,7.47,45.22644156
WHITTIER,90601,32039,52800,17.22248282,8.55,46.41337345
WHITTIER,90602,26253,40695,14.67057804,9.24,41.96561577
WHITTIER,90603,19101,59328,19.77362788,8.4,50.87409547
WHITTIER,90604,37869,49836,17.99509436,9.66,48.4616741
WHITTIER,90605,38180,50630,18.68059672,11.25,51.24154613
WHITTIER,90606,32143,44440,16.84029321,10.98,47.83118669
BUENA PARK,90620,44432,57861,19.68985154,9.99,52.01622093
BUENA PARK,90621,33525,41716,14.962352,10.02,43.13278506
LA PALMA,90623,15498,69096,21.13817746,9.27,54.62134403
CYPRESS,90630,47334,63611,19.00340073,8.76,50.61339028
LA HABRA,90631,67353,50666,17.08646131,9.21,46.77458222
LA MIRADA,90638,47548,61724,19.58387871,9.3,51.81356532
MONTEBELLO,90640,62416,38773,13.97935882,9.84,41.7708279
NORWALK,90650,103211,46012,16.1083803,11.37,47.44949979
PICO RIVERA,90660,63277,41491,16.03393022,11.49,47.13200753
SANTA FE SPRINGS,90670,16263,46061,17.40574731,9.9,47.05632408
STANTON,90680,29679,41578,14.4067169,10.29,42.92099352
ARTESIA,90701,16380,44500,15.73755625,10.62,45.7610632
CERRITOS,90703,51542,72906,22.08571477,10.02,57.18020516
AVALON,90704,3696,39840,8.775549083,8.04,33.8943618
BELLFLOWER,90706,72878,39362,13.71454571,9.27,40.66660031
HARBOR CITY,90710,24640,42299,14.73544608,8.88,41.76335769
LAKEWOOD,90712,30171,59347,18.30792515,8.46,48.85769256
LAKEWOOD,90713,27549,63458,19.47358792,8.55,51.26985255
LAKEWOOD,90715,20884,48927,17.11944133,10.08,47.06025622
HAWAIIAN GARDENS,90716,14850,35153,14.01064641,12.72,44.27465692
LOMITA,90717,21060,42182,14.41575771,7.47,39.64117803
LOS ALAMITOS,90720,21328,65715,19.38230193,8.07,50.67864326
PARAMOUNT,90723,55305,36769,13.49927696,11.79,42.73111068
SAN PEDRO,90731,58622,35910,12.26416091,7.89,36.76072781
SAN PEDRO,90732,21264,63614,17.48835895,7.17,46.45168366
SEAL BEACH,90740,24177,42067,13.26976068,5.49,35.75034218
