City,ZipCode,Population,$ IncomePerHousehold,Transport_tCO2e_yr,Food_tCO2e_yr,Total_tCO2e_yr
PALM SPRINGS,92262,24906,32844,10.7508018,6.6,34.5933293
PALM SPRINGS,92264,18869,39173,11.13937673,5.7,34.93543948
PALO VERDE,92266,287,13261,9.611673594,5.64,27.62419544
PARKER DAM,92267,113,55156,13.64213044,8.28,43.44815793
PIONEERTOWN,92268,341,42778,17.4006428,7.02,42.32758498
RANCHO MIRAGE,92270,12452,63349,13.72560677,5.76,42.51306142
SEELEY,92273,1617,30962,16.13813856,11.07,48.43643083
THERMAL,92274,17009,24760,13.51912708,12.36,44.33386558
SALTON CITY,92275,796,24087,11.71250185,6.99,36.60455494
THOUSAND PALMS,92276,6241,33776,12.28088682,7.56,40.70134029
TWENTYNINE PALMS,92277,17169,29781,13.35250101,7.56,37.88691866
TWENTYNINE PALMS,92278,14098,29509,13.06122227,9.78,40.47304449
VIDAL,92280,47,6964,9.021579751,7.05,29.73230867
WESTMORLAND,92281,2374,24813,13.64210737,10.17,44.28579381
WHITE WATER,92282,804,35982,19.40908894,7.8,44.25897523
WINTERHAVEN,92283,3656,20719,11.21764251,8.52,35.25834096
YUCCA VALLEY,92284,20477,29924,14.7303749,7.17,39.1382168
LANDERS,92285,2181,23854,13.52966907,6.36,34.07148826
ADELANTO,92301,18973,31403,15.53840017,10.47,44.05603217
AMBOY,92304,23,127308,23.56750338,6.9,63.93479084
ANGELUS OAKS,92305,289,65833,15.33821314,7.32,43.25853568
APPLE VALLEY,92307,31859,41728,18.34931841,8.49,47.23108148
APPLE VALLEY,92308,28805,36646,17.00041293,8.73,45.00635639
BAKER,92309,885,27422,10.69146726,9.3,36.20967251
FORT IRWIN,92310,9460,34313,14.92994313,10.2,44.77039415
BARSTOW,92311,31273,37591,14.54947717,8.28,42.79137948
GRAND TERRACE,92313,11008,57303,19.74635552,8.19,51.81802888
BIG BEAR CITY,92314,9882,37487,12.01583366,7.56,38.99968736
BIG BEAR LAKE,92315,5435,34537,9.019399184,6.93,34.60568411
BLOOMINGTON,92316,25987,38290,17.79691646,11.49,49.45416215
BLUE JAY,92317,2134,66856,16.59070534,8.79,50.14822134
BRYN MAWR,92318,220,24625,12.26879146,10.83,40.50356915
CALIMESA,92320,7323,38057,16.24826981,7.14,42.41533897
CEDAR GLEN,92321,439,70455,12.30637786,7.56,45.94522709
CIMA,92323,21,17083,7.609176062,5.73,26.0172237
COLTON,92324,52198,35984,13.95950198,9.72,42.26207792
CRESTLINE,92325,10477,44647,14.06124785,7.65,42.4380123
DAGGETT,92327,658,25417,12.49380572,7.26,35.38226529
DEATH VALLEY,92328,442,40938,14.8223107,5.34,37.68770968
ESSEX,92332,111,36563,18.64364829,7.23,43.21647513
FAWNSKIN,92333,409,37344,10.85676664,6.45,37.17054257
FONTANA,92335,82612,35008,14.28439238,11.52,44.69371672
FONTANA,92336,54585,55340,20.26232526,11.73,56.16780004
FONTANA,92337,29845,52883,20.24298487,11.43,54.43147069
LUDLOW,92338,10,52917,17.88465179,6,43.44928543
FOREST FALLS,92339,943,45766,14.57973214,6.81,39.24070354
GREEN VALLEY LAKE,92341,305,30417,8.771751771,6.78,33.96143658
HELENDALE,92342,4936,48051,20.59020668,7.53,49.22115666
HESPERIA,92345,68501,41423,18.95976804,9.36,48.90422597
HIGHLAND,92346,48227,45560,16.54423261,9.03,46.747028
HINKLEY,92347,1915,27852,16.38187243,8.58,41.69928561
LAKE ARROWHEAD,92352,9792,60829,13.80010077,8.31,46.52434668
LOMA LINDA,92354,18062,39086,13.50979198,7.53,39.3109922
LUCERNE VALLEY,92356,5251,27917,17.14181926,7.74,41.50465143
LYTLE CREEK,92358,1077,45273,18.47489851,7.35,44.00933376
MENTONE,92359,7306,40820,17.33646569,8.31,45.45364773
NEEDLES,92363,5471,25375,11.56440529,7.32,35.29182114
NIPTON,92364,158,30682,13.77123639,6.57,35.99193264
NEWBERRY SPRINGS,92365,2895,31338,15.36502361,7.59,39.88678836
ORO GRANDE,92368,895,24519,13.82719794,8.7,39.57067864
PHELAN,92371,12449,44322,21.43454226,9.12,49.87317358
PINON HILLS,92372,4262,35551,19.91201862,8.52,46.13558993
REDLANDS,92373,31228,47970,15.74771979,6.93,43.08223687
REDLANDS,92374,36658,45516,16.17657176,8.79,45.98234832
RIALTO,92376,75875,37568,14.66742997,11.1,45.53054705
RIALTO,92377,18499,57922,22.10897452,10.92,58.06380267
RUNNING SPRINGS,92382,5386,50608,15.19836412,7.83,44.57443992
SHOSHONE,92384,70,61000,23.75052233,6.18,51.71046555
SUGARLOAF,92386,1816,34219,10.36967266,7.41,36.88445685
TECOPA,92389,99,12344,8.475660493,4.95,25.35413323
VICTORVILLE,92392,63228,38199,15.12638167,8.91,44.57256631
VICTORVILLE,92394,12073,37301,15.85619945,9.78,46.29757172
WRIGHTWOOD,92397,4247,49901,16.57089531,7.74,45.42600963
YERMO,92398,1191,31429,14.27224512,7.98,39.86233754
YUCAIPA,92399,41566,39286,16.66948958,8.01,44.38925485
SAN BERNARDINO,92401,1768,12625,6.436833409,7.59,27.05170857
SAN BERNARDINO,92404,53634,31162,12.71052438,8.97,39.91157207
SAN BERNARDINO,92405,24637,30217,11.91451203,9.54,39.89941652
SAN BERNARDINO,92407,49349,40018,16.25930316,9.66,45.69200799
SAN BERNARDINO,92408,12138,23785,10.69697461,9.93,36.80564789
SAN BERNARDINO,92410,44540,23538,10.25872326,10.83,37.71955377
SAN BERNARDINO,92411,23144,23498,10.93535269,11.19,39.36514702
RIVERSIDE,92501,18982,31875,12.71998616,8.46,38.74805374
RIVERSIDE,92503,71670,44829,16.94639341,10.05,47.52383593
RIVERSIDE,92504,46533,40583,15.98880655,8.88,44.2231989
RIVERSIDE,92505,38442,41756,16.11695737,9.75,45.2848411
RIVERSIDE,92506,42405,62357,19.72256138,8.34,52.32621349
RIVERSIDE,92507,48645,30374,12.12924169,8.37,37.04548863
RIVERSIDE,92508,17142,68701,23.50864036,10.02,59.44002193
RIVERSIDE,92509,63997,45995,18.46669477,10.95,50.89649319
MARCH AIR RESERVE BASE,92518,990,66161,15.08056486,5.67,42.99152093
LAKE ELSINORE,92530,38514,39344,17.78941785,9.54,46.46346581
LAKE ELSINORE,92532,4542,59042,22.46703519,9.6,55.57812445
AGUANGA,92536,2425,36528,17.32165818,8.07,44.11254538
ANZA,92539,3744,30338,16.16981638,7.65,41.52590473
HEMET,92543,29674,23397,10.62277895,7.05,32.86461611
HEMET,92544,39254,37086,16.40376012,8.01,42.89583096
HEMET,92545,25687,31065,12.68369047,6.42,36.15771709
HOMELAND,92548,4276,22095,13.47067815,7.44,36.6991617
IDYLLWILD,92549,3583,35746,11.52565998,6.51,34.69952384
MORENO VALLEY,92551,22963,49418,18.39975252,11.61,53.01258853
MORENO VALLEY,92553,61203,38554,15.14206976,11.22,46.27368092
MORENO VALLEY,92555,12726,62509,25.25960346,10.26,60.6986164
MORENO VALLEY,92557,46197,54724,20.01623584,10.14,53.90931703
MOUNTAIN CENTER,92561,1495,43487,16.50799715,6.48,43.96358417
MURRIETA,92562,36129,61583,21.42311665,9.03,54.20790604
MURRIETA,92563,18303,52208,19.46290842,9,50.44580888
NUEVO,92567,7334,49513,21.71736076,9.51,52.55044012
PERRIS,92570,36802,32479,16.40650181,10.56,44.89613991
PERRIS,92571,26355,40097,16.64268479,11.43,48.01561491
SAN JACINTO,92582,4444,33031,15.13130238,8.49,41.72528029
SAN JACINTO,92583,21334,29051,13.2392243,8.37,38.5226262
MENIFEE,92584,14061,53190,20.60393318,9.03,51.60454909
SUN CITY,92585,8674,36118,16.23600123,8.49,43.22190708
SUN CITY,92586,18142,29152,12.87625034,5.97,35.50390373
SUN CITY,92587,13135,58656,21.17442556,8.58,51.66948294
TEMECULA,92590,3061,26778,14.65940928,9.12,39.83878032
TEMECULA,92591,25648,58429,19.25618847,9.33,51.49924453
TEMECULA,92592,46167,67593,23.19649867,9.63,57.70046942
WILDOMAR,92595,19359,50129,21.3889743,9.27,52.30035918
WINCHESTER,92596,4080,50806,22.79184715,9.33,53.11484356
IRVINE,92602,2754,112399,23.91231354,9.24,64.95091267
IRVINE,92604,27359,71779,19.25004457,8.43,51.31129211
IRVINE,92606,17619,71155,17.51133358,7.95,48.07751306
FOOTHILL RANCH,92610,10934,88710,22.71060979,8.58,58.16901766
IRVINE,92612,41051,60257,15.78372605,7.44,43.9426634
IRVINE,92614,22493,76934,18.11065466,7.92,49.9237247
IRVINE,92618,6297,53337,13.24934811,6.09,38.746907
IRVINE,92620,26415,86467,21.86794309,8.76,57.26460637
CAPISTRANO BEACH,92624,7445,60797,18.13334686,7.86,47.93368078
CORONA DEL MAR,92625,13407,100080,20.16279589,6.15,53.9610898
COSTA MESA,92626,48200,57929,15.79683632,7.74,44.23394934
COSTA MESA,92627,62066,46138,13.7288236,8.31,40.55759976
DANA POINT,92629,27728,64622,17.08336913,7.08,46.30655553
LAKE FOREST,92630,59167,68311,19.0895639,8.67,51.07734602
HUNTINGTON BEACH,92646,56501,69638,19.89905526,7.86,51.59318793
HUNTINGTON BEACH,92647,58761,57528,17.40611761,8.73,47.35973174
HUNTINGTON BEACH,92648,42645,64156,17.00204347,6.9,45.40792914
HUNTINGTON BEACH,92649,32292,70779,18.97218278,6.96,48.95639627
LAGUNA BEACH,92651,25186,76644,17.49067858,6.24,47.29593696
LAGUNA HILLS,92653,48266,46716,13.97923048,6.33,38.60982604
MIDWAY CITY,92655,8657,42218,15.38070851,9.75,43.6345963
ALISO VIEJO,92656,41222,74688,18.74859076,7.47,49.64925634
NEWPORT COAST,92657,5586,114004,23.96544577,7.08,61.75500647
NEWPORT BEACH,92660,28672,98119,18.63197932,6.69,52.78874207
NEWPORT BEACH,92661,4225,64293,15.74659053,6,43.3266786
NEWPORT BEACH,92662,3120,76381,15.44717797,5.37,44.13054648
NEWPORT BEACH,92663,22123,66978,15.78288607,6.12,43.38518665
SAN CLEMENTE,92672,34932,57110,16.49822162,7.29,44.40858632
SAN CLEMENTE,92673,15280,92073,25.15997928,8.76,62.08263778
SAN JUAN CAPISTRANO,92675,34311,62937,19.48874215,9.15,51.39634791
SILVERADO,92676,1839,78269,26.95406598,7.29,58.26587805
LAGUNA NIGUEL,92677,62099,80146,20.25603094,7.92,53.45203065
TRABUCO CANYON,92679,32267,112998,28.95170955,9.69,71.3315587
WESTMINSTER,92683,88225,49686,15.92594004,9.96,46.147036
RANCHO SANTA MARGARITA,92688,42181,74173,19.7026754,8.31,52.05408402
MISSION VIEJO,92691,46370,75184,21.53116605,8.73,55.62590306
MISSION VIEJO,92692,46210,82690,21.35627765,8.34,56.02800329
LADERA RANCH,92694,349,104306,22.32535196,8.73,63.59156238
SANTA ANA,92701,58151,33728,11.82409915,14.01,42.66012522
SANTA ANA,92703,70003,40674,15.91424016,15.81,50.96391247
SANTA ANA,92704,91176,49923,16.5758586,13.83,50.83553527
SANTA ANA,92705,44110,62368,18.9845351,9.12,51.32258803
SANTA ANA,92706,37871,45435,15.47754666,11.76,46.89872264
SANTA ANA,92707,62627,49080,17.24880324,14.07,51.39045462
FOUNTAIN VALLEY,92708,54530,69710,20.17674223,8.97,53.33586346
TUSTIN,92780,55047,47961,14.64523389,8.97,42.9482655
TUSTIN,92782,17485,85977,18.63038459,7.14,50.83860317
ANAHEIM,92801,60541,39789,13.88083723,10.08,41.92176805
ANAHEIM,92802,45074,41408,13.88564553,10.98,43.1272202
ANAHEIM,92804,81317,41887,15.11812326,9.9,43.49296289
ANAHEIM,92805,68796,39609,14.08473887,12.12,44.59754116
ANAHEIM,92806,34387,50555,16.25610763,9.57,46.08485854
ANAHEIM,92807,36283,76381,21.62676523,8.61,55.88530657
ANAHEIM,92808,19612,88329,22.94743211,8.34,58.34099517
BREA,92821,34041,59189,18.1980562,8.1,48.1069863
BREA,92823,1404,63266,22.59648198,8.1,54.48930653
FULLERTON,92831,34589,45102,14.46890048,7.62,40.45325198
FULLERTON,92832,24501,44037,14.07846817,9.3,41.99498281
FULLERTON,92833,46099,50929,17.09858819,9.33,46.87043808
FULLERTON,92835,21144,66607,19.33408451,7.59,50.24963239
GARDEN GROVE,92840,50636,47153,16.46650208,10.26,46.59470698
GARDEN GROVE,92841,31427,46892,17.4825894,10.08,47.44109491
GARDEN GROVE,92843,43486,42872,16.2551046,12.39,47.85300248
GARDEN GROVE,92844,23465,42218,16.06578416,10.89,45.31671482
GARDEN GROVE,92845,15864,66830,21.54901463,8.52,53.80435328
NORCO,92860,22425,63750,24.18816531,9.51,57.74809729
VILLA PARK,92861,5932,116658,30.04779728,9.18,73.50524393
ORANGE,92865,18039,55512,18.30178671,9.06,49.16641047
ORANGE,92866,15380,45307,14.64082015,7.71,40.94239133
ORANGE,92867,40914,63039,18.30213021,9.6,51.22515394
ORANGE,92868,23152,45267,14.51048467,8.91,42.13196298
ORANGE,92869,37900,74117,21.7234946,9.63,56.74612484
PLACENTIA,92870,48166,63367,18.99723983,9.21,51.35220334
CORONA,92879,44874,53451,18.3696594,9.9,49.84685446
CORONA,92880,16990,66439,22.72959307,10.26,57.41063347
CORONA,92881,21903,70992,23.29120401,9.81,58.75036753
CORONA,92882,60281,55957,19.07215295,10.08,51.49296623
CORONA,92883,13168,69462,25.45918562,9.75,60.91740462
YORBA LINDA,92886,39452,82188,24.71304038,8.94,60.70434401
YORBA LINDA,92887,20876,103926,26.5204478,9.45,67.10704817
VENTURA,93001,32898,43023,14.96511963,7.5,40.73246859
VENTURA,93003,46891,54574,16.11017499,7.47,44.27930576
VENTURA,93004,27379,59099,19.10923016,8.49,49.91353951
CAMARILLO,93010,42840,63245,19.11658252,8.22,50.40104088
CAMARILLO,93012,24928,69939,20.71019559,7.59,51.9281586
CARPINTERIA,93013,17402,52052,17.07098182,8.31,45.86036234
FILLMORE,93015,15999,45732,19.44859579,10.59,50.18355621
MOORPARK,93021,32978,76796,24.50790995,10.44,61.46710875
OAK VIEW,93022,6495,59313,21.29012442,8.82,52.87777834
OJAI,93023,21624,50709,19.35808233,7.77,47.87161755
OXNARD,93030,79717,46175,15.77242836,11.1,46.68857095
OXNARD,93033,77785,46342,18.49378529,13.71,52.76491071
OXNARD,93035,25321,58874,17.14155963,8.25,47.02051477
PIRU,93040,1449,41098,18.47688192,11.19,49.27899912
PORT HUENEME,93041,25617,41714,14.67521368,8.88,41.90762701
SANTA PAULA,93060,32509,43166,17.7264244,10.38,47.6084821
SIMI VALLEY,93063,49011,67311,22.24648247,8.88,55.83843611
SIMI VALLEY,93065,64785,72384,21.93369396,9.24,56.91752801
SOMIS,93066,2946,63043,26.47900462,9.36,60.486544
SUMMERLAND,93067,561,37227,13.38811695,6.09,35.85520637
SANTA BARBARA,93101,31717,38714,10.9354009,7.68,35.4626946
SANTA BARBARA,93103,20877,47625,14.62330933,8.34,41.94406934
SANTA BARBARA,93105,25756,57780,17.1915937,6.69,44.39459127
SANTA BARBARA,93108,12737,101575,22.12083086,7.14,58.1941449
SANTA BARBARA,93109,10966,56898,17.17973473,7.08,45.03423676
SANTA BARBARA,93110,15751,52493,17.1412893,7.41,44.81333069
SANTA BARBARA,93111,16470,68087,20.78372002,8.46,53.09626934
GOLETA,93117,49970,40901,16.45988243,8.52,42.75850774
ALPAUGH,93201,1048,24318,15.30897296,10.11,41.5678197
ARMONA,93202,2862,32773,15.56773914,10.47,45.03307534
ARVIN,93203,16202,24577,14.67418537,12.57,44.22449464
AVENAL,93204,14696,29152,15.00450597,12.39,44.97239746
BODFISH,93205,1951,21842,14.21777165,6.57,34.82277199
BUTTONWILLOW,93206,2076,26912,14.19054352,10.95,42.7043195
CALIFORNIA HOT SPRINGS,93207,210,22188,9.739114513,5.94,30.01134105
CAMP NELSON,93208,186,36607,13.35046332,6.9,36.98577554
COALINGA,93210,18033,37434,15.44121272,9.42,43.37612743
CORCORAN,93212,23495,28769,13.63085118,10.41,41.86308613
DELANO,93215,37277,27912,13.96054611,12.06,43.43841608
DUCOR,93218,812,33523,19.97340496,11.67,49.77982383
EARLIMART,93219,9303,22735,13.62084026,13.11,43.30919389
EXETER,93221,13321,36989,18.06194956,9,46.36757479
FRAZIER PARK,93222,1520,43875,14.63605098,7.2,40.49358286
FARMERSVILLE,93223,8631,27613,14.61860188,12.06,44.45175772
FELLOWS,93224,608,38056,20.97927075,8.7,49.10629105
FRAZIER PARK,93225,4481,39530,17.93274113,7.71,44.45025929
GLENNVILLE,93226,280,37083,18.42898445,7.11,43.21524114
HANFORD,93230,53201,37224,15.14194164,8.88,43.05703563
HURON,93234,6902,25521,12.97927061,13.29,42.33168673
IVANHOE,93235,4507,26215,13.11045877,11.79,42.31818986
KERNVILLE,93238,1871,27955,12.7284741,6,33.81804953
KETTLEMAN CITY,93239,1793,26042,14.26818952,13.74,45.23042873
LAKE ISABELLA,93240,5550,22194,12.37814182,6.51,33.11175166
LAMONT,93241,15350,25147,11.70571005,12.81,42.02166628
LATON,93242,2880,34375,17.45428745,10.05,46.27141811
LEBEC,93243,1229,39091,18.67715543,8.43,45.66067052
LEMON COVE,93244,274,31250,15.77413572,7.53,39.89628882
LEMOORE,93245,30402,38652,16.36606782,9.48,45.25047492
LINDSAY,93247,15507,27712,15.5282295,10.86,43.90222241
LOST HILLS,93249,2501,30625,16.89653818,15.9,51.53847887
MC FARLAND,93250,10780,25137,14.22187462,12.75,44.03326405
MC KITTRICK,93251,296,53750,21.39437347,8.55,51.65603429
MARICOPA,93252,4342,31250,15.71934555,8.64,41.93145641
NEW CUYAMA,93254,793,36500,16.52445821,8.58,43.12676117
ONYX,93255,653,17171,15.3495858,7.02,35.99575258
PIXLEY,93256,4178,21781,13.66418711,11.52,42.01053454
PORTERVILLE,93257,65552,30995,14.33787118,9.78,42.19554803
POSEY,93260,247,28929,11.25868067,7.05,33.88134408
RICHGROVE,93261,2945,22011,12.94589836,14.28,43.88688067
SEQUOIA NATIONAL PARK,93262,38,46500,10.55281401,5.19,33.30551989
SHAFTER,93263,15172,29466,14.40216005,10.95,43.43912254
SPRINGVILLE,93265,3527,40256,16.80396615,6.81,42.12593092
STRATFORD,93266,1721,29129,16.88399716,12.42,47.55411143
STRATHMORE,93267,5678,28837,16.11727767,11.4,45.29691388
TAFT,93268,14926,31938,14.36969964,8.25,40.62233345
TERRA BELLA,93270,5864,28934,15.85480813,11.43,44.87895953
THREE RIVERS,93271,2313,44432,17.05057374,6.81,42.04380379
TIPTON,93272,2931,27868,16.64384788,11.13,45.87903985
TULARE,93274,56097,33605,15.09191438,9.75,43.59418766
TUPMAN,93276,229,27750,13.58247669,10.26,41.44189035
VISALIA,93277,44737,44015,15.15885632,8.01,43.3746084
WASCO,93280,22752,29351,15.16265966,11.28,44.35937656
WAUKENA,93282,61,28333,13.46781705,9.15,39.35044638
WELDON,93283,1920,21932,14.71653862,6.78,36.03637334
WOFFORD HEIGHTS,93285,2510,24227,11.19546122,5.88,31.66127643
WOODLAKE,93286,8852,27221,15.29374444,10.59,43.02697222
WOODY,93287,68,34375,20.95182289,7.56,45.25988452
VISALIA,93291,36711,34034,14.75735383,10.17,43.70862547
VISALIA,93292,30393,42622,17.81576943,9.03,47.03298739
BAKERSFIELD,93301,12960,25587,9.980888589,7.11,32.78762557
BAKERSFIELD,93304,44577,28613,11.56062135,9.06,38.10169063
BAKERSFIELD,93305,35623,24114,10.66043168,9.93,37.39163062
BAKERSFIELD,93306,53466,38711,15.38798,9,43.90948254
BAKERSFIELD,93307,59179,26462,12.9698658,10.92,41.45727394
BAKERSFIELD,93308,44914,33035,14.8233626,7.86,40.9269527
BAKERSFIELD,93309,58612,40084,13.83664508,7.77,40.52669821
BAKERSFIELD,93311,20432,60700,19.87252731,8.25,51.38704794
BAKERSFIELD,93312,40824,61583,22.54360141,9.39,56.3388784
BAKERSFIELD,93313,25115,50114,19.98151909,9.9,52.03336541
SAN LUIS OBISPO,93401,27034,37176,14.13813248,6.69,38.10629993
LOS OSOS,93402,14842,46806,18.28309973,7.29,45.16636225
SAN LUIS OBISPO,93405,31972,30016,15.05691937,7.14,38.47674179
ARROYO GRANDE,93420,24482,50244,19.31167415,7.5,47.14987754
ATASCADERO,93422,29532,49754,20.01521015,7.89,48.20610062
AVILA BEACH,93424,797,39792,13.10670289,5.34,36.20909502
BRADLEY,93426,1348,42045,16.23298628,7.41,41.81392417
BUELLTON,93427,4630,49677,19.5730259,8.13,47.95159878
CAMBRIA,93428,6515,45243,15.58099897,6.66,41.51941596
CASMALIA,93429,195,37574,14.29780338,9,39.48566089
CAYUCOS,93430,3212,43040,14.94082501,6.36,39.63138605
CRESTON,93432,1193,50236,22.59161274,7.77,49.15058792
GROVER BEACH,93433,13099,37930,14.49743323,7.71,40.11730828
GUADALUPE,93434,5724,30864,16.07478333,12,45.49913115
LOMPOC,93436,51736,41952,16.93991584,8.49,44.38522007
LOMPOC,93437,6152,39444,15.93491208,9.99,44.95773486
LOS ALAMOS,93440,1308,48182,22.03319788,8.52,50.95185941
LOS OLIVOS,93441,1301,61339,24.38749522,7.98,54.52179575
MORRO BAY,93442,10891,34908,13.1011368,6.15,35.84678861
NIPOMO,93444,15391,50231,20.8354869,9.06,50.87215134
OCEANO,93445,7422,38408,15.02763206,8.88,41.97073881
PASO ROBLES,93446,35578,42309,17.48560723,8.13,44.61002095
PISMO BEACH,93449,8562,46521,13.67401378,6.06,38.40028229
SAN ARDO,93450,662,28929,17.65003752,9.51,44.46471663
SAN MIGUEL,93451,2664,39301,21.17079346,8.49,47.41471777
SAN SIMEON,93452,470,42885,14.92016916,6.6,39.50037418
SANTA MARGARITA,93453,2678,44545,23.94354087,7.53,49.86612936
SANTA MARIA,93454,30522,39007,16.14646957,8.31,42.84858636
SANTA MARIA,93455,37352,53251,20.32284149,8.4,50.3040817
SANTA MARIA,93458,43676,32589,14.89115424,12.33,44.8356293
SANTA YNEZ,93460,5704,68682,24.39428872,8.16,56.12700677
SHANDON,93461,1254,35903,21.47582139,10.05,50.45845245
SOLVANG,93463,7942,52149,18.34179786,7.41,46.31295296
TEMPLETON,93465,7901,52376,23.27702665,8.61,52.87635113
MOJAVE,93501,4873,29121,14.44816431,7.98,39.67743267
CALIFORNIA CITY,93505,8311,45868,18.09937363,8.16,46.60790707
ACTON,93510,7813,65737,27.30407892,8.94,61.03389734
BENTON,93512,331,26250,16.19247202,8.07,39.42502956
BIG PINE,93513,1816,34688,17.57796157,7.32,42.84962885
BISHOP,93514,13304,37969,16.85249721,7.02,41.40186438
BORON,93516,2231,40800,15.64007776,7.53,42.82105972
BRIDGEPORT,93517,817,36281,11.42055702,6.75,35.02644302
CALIENTE,93518,1009,31196,19.1466986,7.05,42.816816
DARWIN,93522,59,13750,11.95263198,4.44,28.3770807
EDWARDS,93523,7679,37032,17.00026872,9.42,45.70051618
INDEPENDENCE,93526,723,37604,15.55236657,6.33,38.76361206
INYOKERN,93527,2196,37361,18.2608739,7.11,43.47218545
JOHANNESBURG,93528,198,21964,10.6094849,6,30.65457317
JUNE LAKE,93529,612,48214,12.18475021,6.96,38.15794292
KEELER,93530,66,19625,11.15358961,5.49,30.11165403
KEENE,93531,1435,54792,22.15187748,7.89,52.51147801
LAKE HUGHES,93532,2760,52222,21.1722943,7.83,48.81903254
LANCASTER,93534,35104,31217,12.04304812,7.74,37.34066559
LANCASTER,93535,57791,39747,16.75299705,9.51,46.49301869
LANCASTER,93536,49303,54223,20.22489848,8.73,51.69374539
LEE VINING,93541,488,45500,18.27760573,7.89,44.69848788
LITTLEROCK,93543,11184,43864,21.50768444,10.08,52.34669252
LLANO,93544,1201,44318,21.6539555,7.14,47.20434898
LONE PINE,93545,1890,28274,13.6945491,6.93,36.24836541
MAMMOTH LAKES,93546,8214,46858,11.29114561,7.32,36.90553305
OLANCHA,93549,301,34375,17.08688939,8.07,42.14529245
PALMDALE,93550,67213,37484,15.61509433,10.17,45.15482552
PALMDALE,93551,34036,68057,22.88908785,9.54,58.225204
PALMDALE,93552,25359,50179,19.86503974,10.8,53.39530041
PEARBLOSSOM,93553,1600,30417,18.2123729,7.65,42.1057992
RANDSBURG,93554,105,48125,14.67799447,5.16,37.19624099
RIDGECREST,93555,29762,45722,16.5265962,7.5,44.37269516
ROSAMOND,93560,14926,42029,17.74400946,8.58,46.23793237
TEHACHAPI,93561,25793,47031,18.43242154,8.16,47.17715622
TRONA,93562,1988,35952,13.0372957,7.59,39.78838888
VALYERMO,93563,406,83367,20.13039901,8.34,55.67653093
PALMDALE,93591,6775,38482,22.02141545,10.62,53.37994655
AHWAHNEE,93601,1957,38688,20.52736649,8.07,46.34499559
AUBERRY,93602,3455,42885,18.27625081,7.92,44.59903555
BADGER,93603,260,21838,8.730473212,6.96,29.58714081
BASS LAKE,93604,604,33802,10.63962009,6.03,33.31115898
BIG CREEK,93605,258,63750,11.86486032,9,42.03660105
BIOLA,93606,788,33500,19.76902121,13.83,54.35059657
CANTUA CREEK,93608,1746,27604,17.44148853,13.71,48.16036458
CARUTHERS,93609,5434,35351,17.00440583,11.13,47.13161748
CHOWCHILLA,93610,19383,31437,15.81687858,9.24,42.69877517
CLOVIS,93611,46851,64229,23.48354512,9.21,56.8333525
CLOVIS,93612,33838,30646,12.24268888,7.59,36.50186387
COARSEGOLD,93614,9391,44161,20.91390044,7.74,47.78629867
CUTLER,93615,5502,26694,14.43285075,13.86,46.55569079
DEL REY,93616,1957,32292,15.61623201,11.13,45.39446538
DINUBA,93618,24205,32467,16.18367619,11.1,46.04117143
DOS PALOS,93620,9386,27945,16.90326094,9.9,44.11306088
DUNLAP,93621,490,17063,15.08067534,7.83,36.23254696
FIREBAUGH,93622,9474,29007,15.16858251,11.85,44.18965176
FISH CAMP,93623,63,2499,3.83806444,5.73,20.40806189
FIVE POINTS,93624,1847,32284,17.28445744,12.51,47.13186567
FOWLER,93625,5616,35253,15.89436386,9.57,43.8377216
FRIANT,93626,1119,40170,20.07874683,7.17,45.32247132
HELM,93627,148,17917,12.99396071,12.69,41.30171996
HUME,93628,92,41250,14.33307534,11.04,44.58573144
KERMAN,93630,14047,29750,16.14196657,10.59,44.07819519
KINGSBURG,93631,14077,40064,17.00775478,8.82,45.50455898
LAKESHORE,93634,46,45417,9.063628498,9.99,37.42202263
LOS BANOS,93635,29120,42460,18.80169407,9.93,48.74979645
MADERA,93637,28431,37043,16.56977616,9.51,45.18624254
MADERA,93638,49244,35221,17.04415732,11.34,47.04282965
MENDOTA,93640,9160,23815,13.18371759,12.84,42.76870005
MIRAMONTE,93641,559,30357,12.42674921,6.36,33.71291176
NORTH FORK,93643,3360,35436,17.73209036,7.59,42.41538587
OAKHURST,93644,8520,35455,16.84540616,7.05,40.64352937
O NEALS,93645,172,107474,31.29945278,8.91,70.39487846
ORANGE COVE,93646,8441,23280,13.42555327,13.29,43.58375578
OROSI,93647,9775,30039,16.34743954,12.66,47.24643227
PARLIER,93648,12581,25085,13.30117166,13.08,43.81073563
FRESNO,93650,3257,22708,10.49549858,12.03,39.57868517
PRATHER,93651,1309,41341,20.93068366,8.52,48.11969829
RAISIN CITY,93652,245,38750,16.24200134,10.8,45.46756555
RAYMOND,93653,971,36875,23.46581284,7.8,48.46206182
REEDLEY,93654,25906,35367,15.96377324,10.38,45.58504529
RIVERDALE,93656,5725,30727,16.40131763,10.56,45.69689326
SANGER,93657,28975,36732,17.46389277,10.05,46.25854846
SAN JOAQUIN,93660,4311,23717,14.21098394,13.92,44.8248354
SELMA,93662,26211,35383,15.85259246,10.41,45.48652317
SHAVER LAKE,93664,637,42167,12.3218141,6.84,37.1533624
SOUTH DOS PALOS,93665,331,12298,11.47350978,12.12,41.28715412
SULTANA,93666,287,28250,15.73454629,11.37,45.13382647
