ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
90212,2010,2786867,1438620,370403,6794,18866,42117,295712,2213770,26307,259,623019,26343,78199,0
90220,2010,662331,534434,3837,18789,7814,12092,29296,303605,9302,216,36641,433,58424,0
90221,2010,561403,473980,630,18200,4880,9904,20596,206650,7491,111,20575,175,60346,0
90222,2010,333503,282755,-58,10643,2667,5637,12019,127596,4437,163,12852,64,36321,0
90230,2010,1042021,756556,28768,15827,21794,25469,80111,683729,5279,553,126828,5341,38617,0
90232,2010,1161570,450594,479517,9245,9636,13261,136638,781640,3231,184,897132,15863,51836,0
90240,2010,601966,423531,7159,10511,12659,16095,41968,343369,4973,313,55678,1858,28500,0
90241,2010,872586,661409,7160,20285,15332,18004,49259,489506,8595,357,73447,1604,47347,0
90242,2010,726095,594896,2056,18855,11170,14293,36382,378394,7960,310,49049,623,43767,0
90245,2010,884649,663633,17545,8449,11718,17403,71022,633355,6099,220,135403,5378,27584,0
90247,2010,796540,650318,912,18497,15103,12541,34617,420655,7688,222,56084,609,49033,0
90248,2010,319903,240751,3052,4701,6628,5360,20835,211515,2392,79,44194,698,15271,0
90249,2010,540072,430840,1044,12139,12377,11531,30860,295443,4867,235,41321,517,30669,0
90250,2010,1557785,1324297,4589,39721,19519,25247,70900,826258,17236,450,111712,1593,105140,0
90254,2010,1363328,945439,41934,11380,14108,28275,125995,1013610,4023,354,239392,13592,40013,0
90255,2010,804876,681692,2000,28288,4903,11406,24942,307502,10217,151,33206,203,77521,0
90260,2010,560939,462546,466,14034,7040,9089,25475,295093,5835,130,41017,322,35222,0
90262,2010,736430,631433,191,26598,4879,12121,26446,281815,10261,189,27096,125,71968,0
90265,2010,1794223,664645,271067,5671,23358,44733,219049,1353460,10191,544,365415,21785,60220,0
90266,2010,3931021,2167603,462081,14091,39312,86255,411665,3033584,12760,1338,804994,48865,109411,0
90270,2010,271040,237536,-38,11020,1298,3272,6932,95816,3607,46,8769,0,26561,0
90272,2010,3680882,1623060,517285,7231,44863,87665,412402,2863284,14945,702,789438,43648,112243,0
90274,2010,3334323,1391532,348893,6439,64421,91940,374898,2537005,22897,969,665430,41702,117694,0
90275,2010,2601799,1426267,154420,12015,83306,81584,261771,1847404,10658,1386,427759,28685,78244,0
90277,2010,1920926,1322050,105450,18465,34793,45403,160845,1387274,13098,606,289605,14781,49890,0
90278,2010,1658246,1365145,26734,22945,21294,43625,139275,1124174,7011,651,218326,10318,48222,0
90280,2010,1162081,983594,993,42955,8456,20357,46584,488374,15854,281,51802,631,102262,0
90290,2010,410602,206774,74591,3033,5063,10351,39277,304810,1814,250,68745,3873,10931,0
90291,2010,1225278,847981,49356,19166,11354,23026,99607,886709,4312,370,198174,9738,40009,0
90292,2010,1399629,911612,104637,14458,24882,27579,123027,1043696,5258,207,236830,12682,42768,0
90293,2010,670836,487325,18666,8649,11535,15506,57956,486745,1625,107,107414,4554,19025,0
90301,2010,485441,408696,300,13265,4748,6509,16701,232682,6105,109,27565,274,38013,0
90302,2010,486287,400721,543,13134,5573,7743,24432,258560,5532,114,37220,467,41801,0
90303,2010,349247,281219,220,8254,5957,6254,14501,159549,4113,112,18601,135,28019,0
90304,2010,299743,258362,417,8096,1772,3848,8177,115067,3851,48,11437,131,29260,0
90305,2010,381380,283883,1032,7030,10175,10599,25772,210421,2916,155,30559,292,19960,0
90401,2010,735292,311578,134928,3879,2848,9076,60579,568712,4474,53,147331,4144,36256,0
90402,2010,1869235,791443,257445,3624,21268,43372,210798,1436285,8780,391,400882,23114,71512,0
90403,2010,1503300,989133,61488,16446,20090,26339,130890,1124839,5115,261,267063,14450,46747,0
90404,2010,944501,564254,22882,12069,7528,13081,75162,688313,8460,169,163095,5509,46392,0
90405,2010,1549529,1033762,91922,17106,19716,31033,135923,1134620,8730,347,263943,15631,47459,0
90501,2010,1009763,788733,9094,16994,19524,21094,65291,613500,7709,393,101850,2621,45653,0
90502,2010,422276,344726,3598,8912,7698,9558,26125,251891,4257,180,37757,687,18305,0
