ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
93205,2011,21708,12513,-41,751,1052,191,672,11640,89,0,1604,0,1072,
93206,2011,34268,23536,572,845,681,212,908,17391,329,0,2517,0,2117,
93207,2011,4683,2286,0,0,293,73,210,3013,0,0,451,0,124,
93210,2011,229940,186689,478,4543,3720,2282,9270,129411,2225,82,18818,321,12117,
93212,2011,193023,142954,4764,7088,2528,1318,6761,96903,2009,26,15584,195,13460,
93215,2011,578630,451574,290,32946,4204,4820,19689,249292,6251,45,37232,591,46487,
93219,2011,86672,72746,22,7527,368,309,1006,23098,934,0,2096,0,10531,
93221,2011,300829,207966,3934,5825,7156,4195,16685,177946,2313,73,29733,1067,12702,
93223,2011,93416,80359,19,4589,715,598,1704,32448,1191,4,2970,0,10117,
93224,2011,9419,7675,0,0,201,38,272,6292,71,0,907,0,295,
93225,2011,92479,68833,-95,2451,2483,1602,4851,54012,624,7,7689,68,3712,
93226,2011,5983,3602,52,0,424,66,256,3861,36,0,540,0,208,
93230,2011,1175015,859064,33274,22814,24179,14631,53811,666766,10024,391,101965,2021,54464,
93235,2011,43125,35217,-40,2404,400,200,636,15451,470,0,1495,0,4208,
93238,2011,33939,18674,84,535,1638,682,1855,21263,121,0,3357,0,1148,
93239,2011,17368,14816,0,502,0,15,108,5090,201,0,461,0,2217,
93240,2011,85428,52544,292,1626,4470,1126,3585,49705,471,13,7148,0,3978,
93241,2011,171940,153176,52,8071,855,520,1935,52639,1660,8,4900,22,19785,
93242,2011,52503,39114,24,1548,930,342,1373,24785,436,0,3424,0,3457,
93243,2011,25604,18500,-21,640,717,496,1247,14723,150,0,2230,0,1018,
93244,2011,13217,7586,-20,161,290,179,823,8743,71,0,1692,0,403,
93245,2011,670971,497738,5225,11963,10633,7602,25809,392720,6685,222,56167,874,35855,
93247,2011,185415,144804,128,10739,2984,1568,5255,76848,1972,22,9622,123,17209,
93249,2011,32737,30851,0,606,0,74,253,8216,416,0,596,0,3333,
93250,2011,135807,114092,468,10095,883,780,2422,47841,1763,5,4361,0,12842,
93252,2011,22357,17322,-3,295,375,124,701,13051,177,0,1707,0,1063,
93254,2011,12283,9682,-23,359,143,99,374,6200,120,0,771,0,621,
93255,2011,7364,4026,-22,229,330,81,261,4198,33,0,582,0,291,
93256,2011,50196,43554,-12,1756,412,214,723,15841,546,0,1509,0,5140,
93257,2011,936061,714917,9533,29827,19259,10077,34484,465804,9930,260,63349,1357,65610,
93263,2011,279033,219306,474,8273,4497,2601,9490,131102,3540,51,17532,413,20283,
93265,2011,102705,64320,439,1059,4769,2136,6612,65686,533,53,10948,301,2789,
93266,2011,21328,15429,-28,862,400,136,531,9694,203,0,1263,0,1568,
93267,2011,73037,54632,471,3439,1457,592,2011,32156,682,4,4263,0,6295,
93268,2011,294513,227737,237,3845,6554,2712,13169,168485,2359,54,26611,302,13526,
93270,2011,78690,57363,467,5775,1281,647,2120,33407,788,5,4527,0,6855,
93271,2011,62876,35672,1453,953,2846,1361,3725,41144,264,5,6721,157,1601,
93272,2011,44828,33043,7584,935,512,151,1032,14673,421,0,1555,0,3622,
93274,2011,1080483,799130,31498,20406,18168,12849,49749,578421,10382,226,90716,1616,64611,
93277,2011,1003935,720522,13166,16954,27194,13086,51327,606794,7824,241,95703,2072,41973,
93280,2011,265740,218394,645,11350,3030,1930,7188,114864,3419,24,13617,194,20534,
93283,2011,21585,12956,8,546,1096,241,694,11770,129,0,1551,0,1025,
93285,2011,33976,16823,537,787,2448,546,1446,19857,129,0,2855,0,1123,
93286,2011,112123,88533,1598,4589,2108,1020,3623,52202,1140,6,6627,199,8584,
93291,2011,1032183,746296,27589,16041,16586,16428,63978,613825,8952,243,110617,4141,48692,
93292,2011,712465,534609,12490,13643,15349,10262,36174,412591,6102,196,62245,1498,33367,
93301,2011,287438,203352,4619,3483,5178,7195,21903,166792,1448,39,31509,1077,16019,
93304,2011,563245,457380,1510,15578,9054,6183,18781,258224,5661,79,32539,420,49028,
93305,2011,394648,290342,5723,10611,6550,3083,11463,192350,3184,40,27522,451,32690,
93306,2011,1249364,900721,19064,21612,33135,18421,64092,731815,10324,306,115659,3340,62738,
93307,2011,856053,709874,6875,28236,8433,8314,25070,351768,10057,77,41037,689,82833,
93308,2011,1013174,736926,8339,15539,26275,14592,56580,623602,7522,240,103762,2123,43433,
93309,2011,1302346,866648,39605,18900,34374,17165,75973,809708,9095,270,145231,3846,54911,
93311,2011,1453954,1063778,19205,11276,21184,29971,112795,980004,10480,480,194860,8656,40750,
93312,2011,1711418,1366694,15933,16967,28137,38645,122782,1109953,13871,487,188511,5504,52483,
93313,2011,867681,711450,7220,15363,10800,16041,48045,484264,9856,168,66778,1060,42981,
93314,2011,951288,641437,21479,6494,13678,20476,79384,651021,5998,678,134521,4842,22617,
93401,2011,916920,538281,58231,6440,24950,18640,64096,638008,4182,250,124272,4968,19862,
93402,2011,355583,216173,12105,4123,14568,9427,22047,218431,1979,96,33975,696,9731,
93405,2011,499521,263670,18441,3031,17340,9236,36400,344097,2363,136,66575,3178,10806,
93420,2011,913271,530586,47159,8669,35508,24302,67842,600563,4409,214,109082,4478,21769,
93422,2011,771656,529491,9510,10691,22925,18166,49013,486664,4972,362,77576,1506,23016,
93426,2011,27947,14829,277,348,1161,630,1794,17894,103,0,3305,0,714,
93427,2011,165865,122381,1230,1746,3608,4056,10533,100944,1008,8,16166,360,5033,
93428,2011,235594,75482,12051,1489,13316,7366,18607,155544,797,10,29009,978,4563,
93430,2011,98980,43848,4522,915,4566,2441,6871,66575,384,4,11576,631,2293,
93432,2011,37929,23930,36,495,1421,1264,2873,22793,215,0,3676,0,1163,
93433,2011,258854,191877,1649,4659,6023,4307,12714,156473,1616,22,24248,333,9124,
93434,2011,89119,75780,200,2906,1088,798,2250,38057,1007,3,4411,0,6924,
93436,2011,1024740,752290,9148,15747,31619,16337,47878,614356,7065,113,91795,1144,42112,
93437,2011,55486,53546,-34,423,187,192,528,30767,994,0,3246,0,4531,
93442,2011,259468,145544,6574,3110,12627,6093,14826,165325,1258,60,26614,581,7014,
93444,2011,543214,345433,7338,7554,19838,13905,37388,331842,3114,205,57401,1686,17087,
93445,2011,94368,73679,50,2231,1892,1294,3526,49509,701,4,6502,0,4948,
93446,2011,1016959,693847,41233,14869,29629,23330,63557,612711,7068,337,96296,2904,35717,
93449,2011,306865,164432,7442,2872,12099,8090,23177,214892,944,30,41883,1601,6864,
93450,2011,23961,7510,178,136,244,135,1969,16879,139,0,4380,0,536,
93451,2011,84081,57995,583,1431,1899,1618,4801,48262,626,26,8124,138,3439,
93452,2011,9081,6118,-7,0,245,100,247,5145,53,0,707,0,303,
93453,2011,77759,48593,8666,1364,2130,1381,4312,51169,409,10,7646,222,2250,
93454,2011,630391,453197,5444,12451,17632,9504,29810,332992,4669,38,49450,1190,31414,
93455,2011,1151263,791900,11303,14601,36374,26401,76585,722529,7420,112,119795,3378,35354,
93458,2011,663395,580173,-67,17805,7622,6854,16846,230036,6307,20,25402,165,55986,
93460,2011,356773,127262,16259,1547,8224,9282,31393,241675,1409,105,57136,2596,6820,
93461,2011,26695,19370,115,430,488,214,917,13040,221,0,1928,0,1470,
93463,2011,277461,147148,13400,1446,11034,8422,25420,177311,1248,23,36161,3215,6047,
93465,2011,302017,190838,5519,3557,8083,7879,22194,193312,1878,87,34712,1502,8097,
93501,2011,56584,43198,-43,1563,1017,326,1640,29810,431,9,3935,0,4269,
93505,2011,178185,137773,-70,3353,3670,1480,6845,107214,1407,53,15634,110,9667,
93510,2011,276973,211503,1568,3969,6434,8181,23350,177092,1282,138,33043,793,8212,
93513,2011,36019,25643,-19,581,1326,462,1404,22810,211,0,3215,0,1359,
93514,2011,303820,201950,5184,3907,10311,5109,15479,194204,1818,121,29811,572,10125,
93516,2011,26424,19201,23,375,1156,111,705,15632,236,0,2081,0,1451,
93517,2011,18693,12373,46,283,471,339,811,11580,104,0,1744,0,603,
93518,2011,22848,12965,-23,472,1190,401,1238,14090,97,0,2107,0,693,
93523,2011,68053,60059,206,637,869,382,1581,41825,981,3,5312,0,3992,
93526,2011,15738,10498,19,96,564,165,531,10376,65,0,1500,0,546,
93527,2011,50766,35309,-13,493,1679,564,2347,33960,278,22,5162,0,1719,
93531,2011,25646,14715,54,234,758,683,2239,17382,84,0,3814,122,541,
93532,2011,67111,54099,-39,1393,1440,1324,4138,41720,387,11,6451,77,2406,
93534,2011,530576,416555,972,11897,11026,7121,21872,280126,4735,45,39109,709,37885,
93535,2011,922396,754261,241,24150,15273,14632,39750,446667,9640,198,55801,354,74525,
93536,2011,1574073,1250102,7625,23397,29831,37584,106759,961107,12045,327,152534,2707,63319,
93543,2011,180945,137905,-52,5497,4108,2753,8319,92055,1502,25,12219,30,11613,
93544,2011,20888,11706,-79,420,1132,392,1182,12781,64,0,1960,0,727,
93545,2011,38487,27373,294,640,1323,531,1578,23359,267,0,3383,0,1691,
93546,2011,230203,150291,7291,4198,3689,5676,15233,140079,1344,16,24432,1030,7300,
93550,2011,894384,740923,834,24889,11237,15867,39148,410415,9817,73,48999,363,75232,
93551,2011,1408692,1127580,6331,18780,26515,39874,106483,867503,9893,264,143059,3255,50935,
93552,2011,561473,480816,-219,14544,6500,14155,31856,271350,7010,52,32114,243,39318,
93553,2011,38817,28608,-50,737,1067,676,2156,23329,210,0,3503,0,1498,
93555,2011,753911,569605,1963,6601,16612,9409,36903,497570,5325,355,77149,729,28531,
93560,2011,364545,303366,475,6821,5596,4960,17587,218378,3217,95,31540,275,17809,
93561,2011,658761,466777,4306,8162,22414,13559,40757,411300,4512,185,63523,1061,22226,
93562,2011,23636,19656,-31,407,702,75,570,14635,188,0,1998,0,1084,
93591,2011,73351,57230,-38,2624,1493,756,2559,32881,708,5,3950,0,6112,
93601,2011,43670,25143,24,908,2172,822,2368,26538,248,3,4054,0,1382,
93602,2011,75863,51412,212,1756,2709,1244,4018,46447,418,4,6935,0,2549,
93604,2011,21855,9079,-6,314,1621,625,1598,13909,49,0,2138,0,411,
93608,2011,14751,12799,0,824,0,0,49,4052,189,0,239,0,1482,
93609,2011,107816,63627,158,2778,1749,555,3780,60909,849,6,12647,0,5232,
93610,2011,272741,203694,5650,6302,5566,2812,11092,148145,2277,33,21699,307,16194,
93611,2011,1214096,920779,7908,17647,29492,23835,75571,773415,9335,372,124029,2798,38159,
93612,2011,506107,393110,2049,15194,12362,4864,16486,278594,4467,63,36800,429,28644,
93614,2011,268037,162884,911,5671,13169,4731,14704,164187,1543,109,25829,458,7908,
93615,2011,51652,43511,65,4052,249,174,558,14548,553,0,1332,0,6102,
93616,2011,29012,22343,-19,1990,484,187,532,11740,295,0,1276,0,2532,
93618,2011,343374,278748,1563,15144,5363,3347,10292,148513,3889,117,17109,241,28168,
93619,2011,1240657,890571,20746,9987,23714,31189,99980,837215,7436,840,165241,7254,30678,
93620,2011,126842,87640,1036,6471,2721,948,4004,64366,1200,8,9000,84,7803,
93621,2011,7232,4807,-18,181,268,101,331,3905,36,0,522,0,332,
93622,2011,144321,95806,394,10467,1680,926,4904,70146,1766,5,12020,174,10124,
93625,2011,136189,105117,558,3154,3312,1822,6082,76246,1319,8,11108,246,6864,
93626,2011,111790,37339,1395,486,1566,1433,6853,89539,151,0,25799,674,3738,
93628,2011,4010,3217,0,0,0,0,0,2029,29,0,234,0,213,
93630,2011,280935,209417,2929,10145,5082,2667,10292,142640,3031,22,20366,445,17813,
93631,2011,389168,266721,4883,7763,9104,5800,22718,240346,3125,124,40804,1236,14021,
93635,2011,630231,488852,5481,28058,12237,7632,25172,326712,7047,57,43592,684,38038,
93636,2011,311727,216491,3111,5133,9410,5490,20106,197572,2184,176,32573,752,9490,
93637,2011,615794,447903,6834,14944,13966,6664,24702,335667,5918,132,49549,1031,34302,
93638,2011,538999,449258,355,19057,6628,3761,12991,194621,5105,131,23100,177,52148,
93640,2011,138161,105737,-9,19658,575,430,1799,37872,1587,5,3940,0,14810,
93641,2011,6736,3783,-12,252,256,88,247,4245,18,0,556,0,249,
93643,2011,63216,34630,36,1468,3274,995,2990,38961,259,6,6257,94,2042,
93644,2011,201808,115385,3312,3910,9587,3427,11309,125354,940,27,21664,382,6554,
93645,2011,11159,6252,-32,0,412,157,610,7627,38,0,1278,0,263,
93646,2011,84844,69770,11,7036,663,279,1379,26078,868,0,2606,0,10100,
93647,2011,101682,84564,84,7362,1145,533,1598,31913,1010,9,3282,0,10771,
93648,2011,148194,129082,112,10077,634,741,2028,44637,1703,0,4005,0,16919,
93650,2011,49974,37430,-40,1597,1058,405,1428,24022,406,0,3332,0,3897,
93651,2011,50181,35448,270,675,1554,940,2895,32083,310,0,4933,63,1539,
93652,2011,8931,6960,0,443,0,20,86,3063,97,0,312,0,809,
93653,2011,21118,13664,6,371,860,342,1017,12860,92,0,1949,0,710,
93654,2011,465899,348412,12081,22003,9984,5556,18390,230360,4279,79,31425,783,29672,
93656,2011,90679,64880,4170,2403,1563,579,3090,45762,881,0,6606,231,5615,
93657,2011,579624,433383,3709,17043,13197,7628,25377,313519,5355,143,46826,1170,33463,
93660,2011,45037,38226,0,3254,339,128,463,13139,588,0,1069,0,5078,
93662,2011,431448,328992,2265,15576,8569,5113,15844,202479,4207,56,27280,426,30104,
93664,2011,30419,15735,225,251,1629,960,2582,20226,71,0,3704,191,714,
93667,2011,50012,35192,-16,1151,1939,635,2268,30742,345,9,4456,0,1762,
93668,2011,18935,11568,15,609,409,174,797,10169,174,0,1560,0,1059,
93669,2011,4434,2704,-22,0,164,59,179,2447,16,0,329,0,204,
93675,2011,58480,41569,129,1775,2250,897,2615,34160,358,3,4684,0,2372,
93701,2011,68108,55515,-36,2629,263,249,810,19209,578,0,2135,0,9999,
93702,2011,342008,278103,-32,16269,3102,1226,4911,107558,3342,18,11169,44,43787,
93703,2011,290560,227748,6,11865,5030,1614,5500,117708,2719,21,13298,39,30483,
93704,2011,626593,402736,13207,10597,18173,8488,34524,402724,3299,150,72853,1901,24086,
93705,2011,402016,302168,437,13851,9925,3073,10358,195273,3536,52,24789,121,32587,
93706,2011,362964,267269,6673,12293,6825,2105,8911,153191,2937,43,21608,514,35394,
93710,2011,473322,329278,1969,9886,18393,5299,18505,279557,3374,105,40142,320,22228,
93711,2011,1635457,865506,75399,12808,52744,30291,129875,1161460,7610,477,254353,11314,34087,
93720,2011,1514435,1083883,21877,15685,32975,28109,100389,1010074,9637,345,186563,6572,40219,
93721,2011,51793,35029,563,973,704,586,1978,29338,304,0,5489,0,3268,
93722,2011,1318484,1054795,3818,30425,20222,19897,63532,735183,13130,228,104897,1436,71887,
93723,2011,223468,149033,5312,3500,4614,4720,14035,139914,1788,81,22967,463,8218,
93725,2011,298454,223550,1295,11419,4801,2618,9478,138364,2991,60,19263,440,25343,
93726,2011,471316,357191,297,15219,11568,3554,11696,233511,4181,43,29982,128,36185,
93727,2011,1080519,830700,8066,27522,20468,15835,47848,577382,10880,416,81111,1202,71513,
93728,2011,182041,144578,6,6598,3132,1430,4896,93093,1310,20,12315,0,13192,
93730,2011,551801,374309,18577,2941,9268,13074,48147,399864,2437,153,90437,5540,10910,
93901,2011,618981,443561,7031,11139,17342,9142,32330,380391,3940,47,62791,1700,25089,
93905,2011,854533,774316,-30,36058,4559,8680,19343,248446,9495,83,24166,211,88474,
93906,2011,1031797,872268,2726,29923,16036,16306,44609,534116,10673,135,71754,883,61256,
93907,2011,536547,394607,3119,10296,13952,10731,33412,329252,3773,103,53230,1250,19549,
93908,2011,701012,407010,24880,3428,18350,17740,64874,494998,2460,159,109266,6675,14513,
93920,2011,28982,20967,-54,244,544,341,1095,17167,198,0,2360,0,996,
93923,2011,683991,251532,99667,2126,29843,22543,65380,494692,2354,149,110276,8253,8820,
93924,2011,289943,151042,22653,1696,8974,8576,25536,196591,1464,137,41087,2897,5727,
93925,2011,35506,25953,3,1430,487,452,1566,16489,355,0,2788,0,2043,
93926,2011,170428,140529,96,7183,2012,2077,6519,80468,2175,41,9062,157,11477,
93927,2011,255962,217028,159,9932,2296,2719,8076,101569,2812,37,13055,232,19798,
93930,2011,269272,217818,725,7060,4550,2537,8821,121281,2394,25,17592,372,17582,
93933,2011,450641,365682,2558,6915,10238,5612,17143,275377,3519,37,39421,357,18073,
93940,2011,1086355,649003,42605,7928,30433,21956,76303,749256,5620,94,143738,7471,25268,
93950,2011,535008,324666,19585,4532,19281,11732,32887,363547,2224,50,63794,2226,11868,
93953,2011,402051,134018,48062,971,14213,15555,48415,288596,1392,9,70202,7753,4823,
93955,2011,577062,473844,4570,8140,10772,7573,21332,314044,4804,53,44251,783,29534,
93960,2011,276896,236464,-7,9394,2809,3728,11065,130441,3566,100,16909,343,18376,
94002,2011,1567405,1187747,53693,10953,29065,40706,140511,1149547,5344,163,260180,17018,27250,
94005,2011,263796,215735,5600,2142,3258,5366,21201,195111,1063,9,41917,1979,5322,
94010,2011,4810926,2659628,629953,11998,55152,117342,521800,3725583,21691,407,1009584,83610,62712,
94014,2011,1082559,896980,6447,18100,22543,23208,55908,656135,7222,43,98935,1601,43973,
94015,2011,1689859,1354897,12545,24346,41522,34832,93128,1090546,9675,95,173807,2845,56560,
94019,2011,833233,573919,74262,5625,16166,21190,76097,598012,2665,73,137942,8946,17201,
94020,2011,81996,58364,4503,690,1752,1879,6843,59686,382,4,12721,755,1933,
94021,2011,6670,3948,-10,0,0,170,411,4342,13,0,654,0,91,
94022,2011,3754127,1890100,804214,3894,42418,95142,450426,2921639,21068,842,787946,76462,43668,
94024,2011,3228365,1947296,527484,5457,41904,85664,346067,2554146,16063,757,674721,54219,33200,
94025,2011,4379210,2478373,827214,10227,43334,97332,471916,3381374,24917,276,851455,73456,56946,
94027,2011,3370398,1134375,1282949,933,16666,61338,418483,2626987,17511,213,685248,70931,36772,
94028,2011,1835981,711179,355426,1197,19073,35465,204270,1447264,5100,201,383550,38451,18700,
94030,2011,995733,672997,23500,8167,28344,27357,80355,698829,4123,58,145509,6980,20810,
94038,2011,124332,95709,1976,1240,2389,3999,11036,85363,459,41,17518,1061,3011,
94040,2011,1896569,1488570,109150,8632,22967,37930,162074,1443544,7935,278,337560,21732,32294,
94041,2011,839954,667054,56239,4391,6909,11551,68164,650608,2937,65,150328,7903,15189,
94043,2011,1510192,1271017,61180,10620,13969,24847,117719,1138716,7159,108,246561,11261,29801,
94044,2011,1469961,1143101,29048,17953,33421,40017,111966,999131,6069,159,181600,6595,38343,
94060,2011,45506,29436,1342,261,1078,1073,2970,27232,248,0,5389,252,1642,
94061,2011,1431021,1098746,43605,11742,27584,31707,108237,994715,5880,141,208108,12583,33942,
94062,2011,3743337,1766465,752111,7485,35936,75239,425472,2857508,15257,375,729195,59633,45348,
94063,2011,643181,499028,7006,8585,7220,9091,28878,385293,4529,27,66622,2053,27550,
94065,2011,1100422,703268,95447,4802,10234,24132,93898,758569,3630,29,184705,12672,16111,
94066,2011,1393509,1085264,16206,17218,30935,28732,91058,915926,6924,104,159476,4897,41623,
94070,2011,2246053,1622026,121755,11598,36656,59485,212788,1681827,6563,289,404721,26905,33267,
94074,2011,6397,3803,-43,0,110,141,360,4168,11,0,684,0,123,
94080,2011,2030275,1632806,19344,25402,43502,44579,128508,1323262,17275,125,226507,5578,69088,
94085,2011,781831,710351,13986,6900,4853,9407,47085,565921,3807,112,110199,3116,21779,
94086,2011,2054729,1793697,51531,15188,21456,28393,136787,1540517,10181,162,315111,12133,46628,
94087,2011,3147677,2533944,131820,16732,49417,69030,267148,2378242,12755,625,540222,34882,51958,
94089,2011,760338,664754,11314,9474,11476,9666,46425,545069,3637,28,103073,3199,20148,
94102,2011,760002,600089,12496,8228,5672,6888,41340,541985,2710,5,108786,2720,22646,
94103,2011,1136832,780257,112767,8796,4620,15052,79603,854651,4271,9,198953,20096,24958,
94104,2011,507416,157912,89218,580,2218,5134,48568,393380,3158,0,94809,8496,6358,
94105,2011,1247161,765857,208832,2629,3442,20320,122676,992730,11256,8,252357,15337,21775,
94107,2011,2275831,1598249,166245,9804,10986,36195,200968,1755407,7800,56,408894,27651,37829,
94108,2011,700322,333500,131006,5400,6676,8196,50277,530868,3985,0,111966,6772,12706,
94109,2011,2913268,2053577,243348,19545,39916,34463,215425,2244688,9280,100,505082,32332,53795,
94110,2011,2857255,2275847,165711,27989,20288,44311,197011,2088830,11407,231,438534,23190,68224,
94111,2011,1721029,248243,881809,1426,8688,14255,172547,1192540,10748,0,265228,27365,15541,
94112,2011,1844381,1496438,15612,36147,35632,42593,102597,1116574,11000,132,179318,4683,72298,
94114,2011,3122186,2136259,442812,14313,23259,52173,284385,2479052,8600,252,605718,37287,44650,
94115,2011,2923685,1575967,635417,11539,22402,43853,285803,2197902,14179,158,519339,43232,42711,
94116,2011,1746016,1202192,52308,18251,37027,43054,134379,1230170,7202,140,250232,10979,38875,
94117,2011,2521549,1749678,212989,14107,16281,34859,199406,1984016,7961,58,439146,25092,39686,
94118,2011,2828622,1591842,398679,13617,30338,48383,265907,2154615,16277,123,512535,35519,45257,
94121,2011,2055853,1251369,182608,17106,33129,37090,156587,1526168,8835,92,331418,16334,38056,
94122,2011,2111110,1582809,61437,22875,39307,41579,140496,1512412,7729,109,290963,11253,48470,
94123,2011,3037546,1879014,324363,8533,24616,40850,294756,2440616,13724,83,633407,35134,45613,
94124,2011,596132,481586,2722,14927,9698,12146,27924,328028,4959,48,47088,672,36131,
94127,2011,1383285,866824,49604,6499,29914,39708,135209,1018885,4340,144,241585,17901,21871,
94129,2011,385457,191357,113136,1074,1169,1695,31646,302823,1013,0,69450,4914,2756,
94130,2011,31354,28221,-40,642,0,0,522,19463,210,0,2927,0,1771,
94131,2011,2215698,1403468,114740,10503,28735,39941,177321,1736146,5586,167,386945,20872,32423,
94132,2011,804434,583543,16542,9356,20532,19037,55867,549080,3290,40,103645,3891,21397,
94133,2011,1470947,819346,163303,10706,16119,19126,103514,1085902,5620,10,242787,15648,25783,
94134,2011,884284,716577,6145,19419,16769,20715,48067,520294,5827,36,79997,1266,40070,
94158,2011,344581,299946,10883,1107,867,5453,31493,273950,1109,0,85261,10681,5675,
94301,2011,3493017,1592929,964579,3252,27463,57656,404457,2680190,20314,140,702328,67233,38702,
94303,2011,2836280,1511232,151105,12576,30242,49607,280022,1957317,14119,194,455732,41917,51378,
94304,2011,914717,184085,526949,365,9641,5443,81555,654048,6287,0,135321,16991,4166,
94305,2011,468419,287447,56921,309,9440,8869,41773,346127,2006,14,85573,8883,6908,
94306,2011,2246799,1502762,286494,7100,29514,49248,219740,1721836,9022,198,437600,45699,29470,
94401,2011,1053247,779002,31478,11669,22665,21774,72000,707451,4580,49,135351,5083,31746,
94402,2011,1870708,1205729,155501,7693,37448,48168,183684,1394910,6895,124,337223,25088,28850,
94403,2011,2392879,1366865,221262,15410,37271,47068,189453,1744561,10370,191,348460,23970,38109,
94404,2011,1965203,1519229,81565,12724,37923,44777,165233,1465658,7773,131,319145,17840,34437,
94501,2011,2053176,1564366,35061,27456,42345,46309,138153,1407206,9249,282,259473,9905,58110,
94502,2011,710749,507957,18966,5167,18285,24663,65951,505344,2442,68,104630,5762,14266,
94503,2011,543185,453866,2070,8630,8677,13152,36158,332193,3803,46,51922,1040,19795,
94505,2011,504336,352623,12754,7017,15441,15808,42951,333493,2633,142,61841,2183,12693,
94506,2011,2147431,1523194,77718,7047,25644,67427,237669,1577283,8798,234,418283,30404,32419,
94507,2011,1920394,1104792,194473,3502,30960,51399,209052,1468277,6941,318,398587,28711,26515,
94508,2011,97847,61031,4104,634,2406,2429,7662,63730,419,0,11791,611,2364,
94509,2011,1206337,945335,1481,28684,33671,19275,57516,701654,9266,286,100667,968,58235,
94510,2011,1095843,812005,10242,13333,27655,24317,81092,750454,5355,152,139626,4870,26538,
94513,2011,1737622,1330675,35482,26009,45366,52395,133701,1103901,11444,677,185452,5316,50038,
94514,2011,34040,23703,97,554,796,730,2071,20242,195,0,3029,172,1269,
94515,2011,234143,126874,12699,2531,7013,4886,17396,150527,1202,30,30873,1457,6833,
94517,2011,640429,451541,5239,5486,18162,19418,56519,439997,2185,200,90026,4040,12114,
94518,2011,847930,625891,10117,12322,24470,18088,57380,563204,4118,211,99293,2812,23198,
94519,2011,497287,383760,2630,9570,13658,9923,29190,317282,2944,95,49531,732,16416,
94520,2011,644170,528427,2032,13065,10771,7649,25990,349424,4711,69,51179,802,34069,
94521,2011,1395717,1071794,10662,19823,38980,32168,97986,928520,6838,298,160932,4205,36655,
94523,2011,1289131,970716,16699,14125,31099,31130,95294,887664,5336,243,163983,5698,29518,
94525,2011,96799,71220,-132,1713,3028,2001,5721,64701,418,2,10621,155,2806,
94526,2011,2317440,1545228,130187,11008,51371,65526,230396,1687620,7376,336,401625,28367,35325,
94530,2011,995019,673791,24119,9085,28383,25705,72818,696040,4407,181,131244,5188,22144,
94531,2011,1085223,910615,3066,20984,18198,32442,79315,658083,8283,251,102197,1825,41411,
94533,2011,1407659,1084779,5252,30475,36454,20388,62540,816220,10559,221,118915,1302,66169,
94534,2011,1405099,1046161,31145,16080,32201,36012,107976,941515,7149,226,173248,7346,36852,
94535,2011,78550,74318,11,803,192,337,845,40361,1245,0,4307,0,7238,
94536,2011,2420232,2004061,34228,29632,38449,53966,172374,1664194,12074,199,312121,12744,62596,
94538,2011,1885566,1638467,11495,31077,21511,33340,113060,1273791,11378,157,220982,5204,60370,
94539,2011,3217727,2502943,180829,19248,31568,96243,321254,2386498,14583,464,558323,42634,55997,
94541,2011,1239637,1025390,3675,28277,21632,21103,59381,717595,9802,115,104865,1306,61734,
94542,2011,472423,355131,7184,5152,10405,13114,39131,321980,1911,171,64351,2857,12223,
94544,2011,1425254,1191637,3083,36525,23897,24087,66000,794056,12563,120,112980,1411,76878,
94545,2011,772181,635721,2746,16936,15217,17015,45148,463864,5817,51,71140,1636,32694,
94546,2011,1386453,1018928,19220,20949,37974,35111,96277,914610,7917,251,159131,3908,40471,
94547,2011,814855,665869,4719,11671,17317,26111,63456,522094,4345,94,86739,1851,25338,
94549,2011,2629477,1445847,265686,7746,48765,66364,272145,1980495,8349,468,503507,38390,41429,
94550,2011,2172626,1602188,45164,16887,45837,62865,191288,1503680,8674,714,308138,14981,46359,
94551,2011,1327045,1091515,12384,18103,21447,35662,99423,866046,6861,277,151922,4027,40279,
94552,2011,750170,566002,11196,5996,14036,24320,69753,529891,2849,146,111282,5916,15238,
94553,2011,1647961,1192246,28306,23812,43703,38418,115776,1117153,7257,282,198184,5635,43031,
94555,2011,1377235,1195461,34071,14206,14527,31522,106720,984699,7106,105,201854,15486,31855,
94556,2011,1255098,715992,97233,3490,30106,31870,123143,945804,3451,212,223555,16147,15457,
94558,2011,2220049,1440629,64282,24277,65744,53938,161798,1442266,12732,704,272653,12857,62071,
94559,2011,747546,516930,19424,10899,17128,14972,47185,473333,3843,49,84878,2808,25377,
94560,2011,1214767,1011079,8185,23983,22348,28271,79055,767868,7516,97,128432,3677,43667,
94561,2011,915454,757816,3123,21087,16928,25829,63076,548917,7691,198,82038,1237,34309,
94563,2011,2000823,1091931,188537,3972,37411,53103,219719,1512678,5669,299,398122,30604,24298,
94564,2011,557146,414725,2073,9719,19017,14031,35995,357565,3067,71,56996,820,17743,
94565,2011,1635304,1360270,1954,39388,30783,29598,79829,918476,13923,211,128356,1199,83072,
94566,2011,2901196,2212830,123632,14857,40166,77524,284670,2146089,12546,838,529169,35356,51744,
94567,2011,19551,10812,974,277,418,473,1111,13052,116,0,1957,0,557,
